hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 7965.76, -120.016, 0, 0, 0, 0, 0, 0
0, 1200.00000, 7965.76, -120.016, 0, 0, 0, 0, 0, 0
0, 1800.00000, 7965.85, -120.016, 0, 0, 0, 0, 0, 0
0, 2400.00000, 7965.84, -120.016, 0, 0, 0, 0, 0, 0
0, 3000.00000, 7965.85, -120.015, 0, 0, 0, 0, 0, 0
1, 0.00000, 7965.83, -120.016, 0, 0, 0, 0, 0, 0
1, 600.00000, 7965.78, -120.016, 0, 0, 0, 0, 0, 0
1, 1200.00000, 7965.81, -120.016, 0, 0, 0, 0, 0, 0
1, 1800.00000, 7965.91, -120.016, 0, 0, 0, 0, 0, 0
1, 2400.00000, 7965.89, -120.016, 0, 0, 0, 0, 0, 0
1, 3000.00000, 7965.88, -120.016, 0, 0, 0, 0, 0, 0
2, 0.00000, 7965.9, -120.015, 0, 0, 0, 0, 0, 0
2, 600.00000, 7965.76, -120.016, 0, 0, 0, 0, 0, 0
2, 1200.00000, 7965.66, -120.016, 0, 0, 0, 0, 0, 0
2, 1800.00000, 7965.71, -120.016, 0, 0, 0, 0, 0, 0
2, 2400.00000, 7965.85, -120.014, 0, 0, 0, 0, 0, 0
2, 3000.00000, 7965.86, -120.015, 0, 0, 0, 0, 0, 0
3, 0.00000, 7965.83, -120.016, 0, 0, 0, 0, 0, 0
3, 600.00000, 7965.85, -120.015, 0, 0, 0, 0, 0, 0
3, 1200.00000, 7965.85, -120.016, 0, 0, 0, 0, 0, 0
3, 1800.00000, 7965.81, -120.016, 0, 0, 0, 0, 0, 0
3, 2400.00000, 7965.8, -120.016, 0, 0, 0, 0, 0, 0
3, 3000.00000, 7965.74, -120.016, 0, 0, 0, 0, 0, 0
4, 0.00000, 7965.79, -120.016, 0, 0, 0, 0, 0, 0
4, 600.00000, 7965.88, -120.015, 0, 0, 0, 0, 0, 0
4, 1200.00000, 7965.87, -120.015, 0, 0, 0, 0, 0, 0
4, 1800.00000, 7965.79, -120.015, 0, 0, 0, 0, 0, 0
4, 2400.00000, 7965.81, -120.015, 0, 0, 0, 0, 0, 0
4, 3000.00000, 7965.81, -120.015, 0, 0, 0, 0, 0, 0
5, 0.00000, 7965.88, -120.015, 0, 0, 0, 0, 0, 0
5, 600.00000, 7965.74, -120.016, 0, 0, 0, 0, 0, 0
5, 1200.00000, 7965.9, -120.015, 0, 0, 0, 0, 0, 0
5, 1800.00000, 7966.04, -120.015, 0, 0, 0, 0, 0, 0
5, 2400.00000, 7965.96, -120.016, 0, 0, 0, 0, 0, 0
5, 3000.00000, 7965.96, -120.015, 0, 0, 0, 0, 0, 0
6, 0.00000, 7965.97, -120.015, 0, 0, 0, 0, 0, 0
6, 600.00000, 7965.93, -120.016, 0, 0, 0, 0, 0, 0
6, 1200.00000, 7965.92, -120.015, 0, 0, 0, 0, 0, 0
6, 1800.00000, 7965.88, -120.014, 0, 0, 0, 0, 0, 0
6, 2400.00000, 7965.94, -120.014, 0, 0, 0, 0, 0, 0
6, 3000.00000, 7965.92, -120.014, 0, 0, 0, 0, 0, 0
7, 0.00000, 7965.86, -120.015, 0, 0, 0, 0, 0, 0
7, 600.00000, 7965.74, -120.014, 0, 0, 0, 0, 0, 0
7, 1200.00000, 7966.34, -120.003, 0, 0, 1.05514, 55.5252, 1.05514, -124.475
7, 1800.00000, 7963.26, -120.039, 0, 0, 2.76948, -124.511, 2.76948, 55.489
7, 2400.00000, 7962.72, -120.046, 0, 0, 2.95055, -124.517, 2.95055, 55.4828
7, 3000.00000, 7962.33, -120.05, 0, 0, 2.96285, -124.521, 2.96285, 55.4789
8, 0.00000, 7962.07, -120.05, 0, 0, 2.7415, -124.521, 2.7415, 55.4787
8, 600.00000, 7961.48, -120.054, 0, 0, 2.93534, -124.526, 2.93534, 55.4743
8, 1200.00000, 7961.02, -120.056, 0, 0, 2.81768, -124.528, 2.81768, 55.4721
8, 1800.00000, 7960.71, -120.058, 0, 0, 2.58347, -124.529, 2.58347, 55.471
8, 2400.00000, 7959.83, -120.064, 0, 0, 2.49126, -124.536, 2.49126, 55.4644
8, 3000.00000, 7958.91, -120.072, 0, 0, 2.48987, -124.544, 2.48987, 55.4563
9, 0.00000, 7958.24, -120.08, 0, 0, 2.59257, -124.551, 2.59257, 55.4485
9, 600.00000, 7957.82, -120.085, 0, 0, 2.66968, -124.556, 2.66968, 55.4439
9, 1200.00000, 7957.13, -120.094, 0, 0, 3.0183, -124.565, 3.0183, 55.4348
9, 1800.00000, 7956.68, -120.099, 0, 0, 2.87501, -124.57, 2.87501, 55.4297
9, 2400.00000, 7955.98, -120.105, 0, 0, 2.79615, -124.576, 2.79615, 55.4237
9, 3000.00000, 7955.38, -120.11, 0, 0, 2.65278, -124.582, 2.65278, 55.4182
10, 0.00000, 7954.92, -120.117, 0, 0, 2.89783, -124.588, 2.89783, 55.4115
10, 600.00000, 7954.97, -120.116, 0, 0, 2.53567, -124.587, 2.53567, 55.4125
10, 1200.00000, 7954.57, -120.123, 0, 0, 2.8584, -124.594, 2.8584, 55.4056
10, 1800.00000, 7954.83, -120.12, 0, 0, 2.57427, -124.591, 2.57427, 55.409
10, 2400.00000, 7955.07, -120.119, 0, 0, 2.61344, -124.59, 2.61344, 55.4097
10, 3000.00000, 7954.86, -120.122, 0, 0, 2.89771, -124.594, 2.89771, 55.4063
11, 0.00000, 7956.87, -120.1, 0, 0, 0, 0, 0, 0
11, 600.00000, 7957.09, -120.099, 0, 0, 0, 0, 0, 0
11, 1200.00000, 7957.68, -120.091, 0, 0, 1.04963, 55.4379, 1.04963, -124.562
11, 1800.00000, 7955.18, -120.122, 0, 0, 2.75596, -124.594, 2.75596, 55.4061
11, 2400.00000, 7955.1, -120.122, 0, 0, 2.93695, -124.594, 2.93695, 55.4061
11, 3000.00000, 7954.81, -120.126, 0, 0, 2.94938, -124.597, 2.94938, 55.4029
12, 0.00000, 7954.88, -120.124, 0, 0, 2.72958, -124.596, 2.72958, 55.4042
12, 600.00000, 7954.89, -120.124, 0, 0, 2.92362, -124.595, 2.92362, 55.4046
12, 1200.00000, 7955.16, -120.122, 0, 0, 2.80767, -124.593, 2.80767, 55.4069
12, 1800.00000, 7955.5, -120.116, 0, 0, 2.57531, -124.587, 2.57531, 55.413
12, 2400.00000, 7955.05, -120.12, 0, 0, 2.48406, -124.591, 2.48406, 55.4086
12, 3000.00000, 7955.27, -120.12, 0, 0, 2.48437, -124.591, 2.48437, 55.4089
13, 0.00000, 7955.5, -120.118, 0, 0, 2.58825, -124.59, 2.58825, 55.4102
13, 600.00000, 7955.75, -120.115, 0, 0, 2.6663, -124.586, 2.6663, 55.414
