Qa,Qb,Qc
0.632641926320734,0.463010073797595,0.951306894717014
0.869603037659135,0.647409695519651,1.02744388925214
0.810524445918359,0.562756627550092,1.07097119209872
0.519961161138528,0.184825130971312,0.892153194998949
0.429912420488653,0.356015488370148,0.884760623345721
0.380523648139533,0.30686870878707,0.937201864760083
0.489085727516957,0.30951587687263,0.951780698066893
0.502280735746639,0.526881481285462,0.932306709249806
0.460764488327592,0.484911620854623,0.916899218316461
0.576373703576295,0.354366208989474,0.841535757681313
0.584740005409365,0.287553713712365,0.785068153442691
0.546310399034088,0.305577029062851,0.846445765578155
0.457916870542362,0.378087194051372,0.857227527761327
0.415307826126173,0.409201952421797,0.886627176495374
0.464982879980065,0.359775360773308,0.885877013466769
0.507149923773873,0.504403009662161,0.815105522459514
0.518237177632582,0.522436695731862,0.83140899634821
0.516406868219294,0.490659092374351,0.893393132987189
0.453964031359215,0.541224100793295,0.930958502151676
0.570420993426623,0.428982837937333,0.870173392746583
0.668375544972836,0.51477839879928,0.939383264776693
0.525911654025724,0.409868541208888,0.924849394021969
0.478034226295779,0.446900928775349,0.882098926471942
0.558549060891845,0.438911118913852,0.903674034996747
0.508623987806415,0.272463570293715,0.852820829827158
0.398040973323645,0.346732763600749,0.870302368477709
0.444579711248728,0.298439304431855,0.941095324019879
0.492960992642786,0.266526035788619,0.995848390105413
0.516295310238604,0.339337704923226,0.889109983770689
0.478263397939266,0.35393949070679,0.865935733375766
0.597760173962798,0.246752715266262,0.87823219986371
0.610774024669638,0.219633952369831,0.885343946993826
0.517777339830422,0.374048697582804,0.897741938761658
0.498272415496629,0.291967378998622,0.891841724937218
0.50018845568969,0.478451414982883,0.759858626639957
0.526996389166183,0.53769905898283,0.611382080066788
0.45370948106312,0.829261340529984,0.645362702656218
0.351739276650894,0.935002548933829,0.819441050357446
0.0529808758029224,1.8636810183757,0.854829595194759
0.191487418725389,1.8051273616422,0.998151486224811
0.450085165155768,1.83391830796045,1.2235250873224
0.333252748386576,1.81969993325255,1.18579714262655
0.0274072961457857,1.69764528272435,1.09191337664933
0.602480179858602,0.339389135024755,1.87436689239237
0.27404860559701,0.679274989036882,2.3338653713009
0.142315175730073,1.30461220852457,2.10596959578313
0.97674013262874,0.583663158353813,2.17500452356157
1.64191519430689,0.931168377785514,2.49022671583517
1.73352802912673,1.01057522489962,2.33672240054523
1.39649325456757,1.6257984387725,2.11993817647263
1.3463400139647,1.58359088060341,2.1995145112697
1.4462753631956,1.42753416804016,2.0514055091725
1.42955482460719,0.829146357703095,1.98105562795344
1.4128332350788,0.488685608444036,2.14073060901078
1.30752087178599,0.753849422141309,2.16559622229634
1.34041449272122,0.775301776054437,2.31061469621891
0.985198936060614,1.29206417639053,2.33965830043856
