hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 7962.61, 119.974, 0, 0, 0, 0, 0, 0
0, 1200.00000, 7962.61, 119.973, 0, 0, 0, 0, 0, 0
0, 1800.00000, 7962.85, 119.976, 0, 0, 0, 0, 0, 0
0, 2400.00000, 7962.41, 119.975, 0, 0, 0, 0, 0, 0
0, 3000.00000, 7962.59, 119.974, 0, 0, 0, 0, 0, 0
1, 0.00000, 7961.9, 119.974, 0, 0, 0, 0, 0, 0
1, 600.00000, 7962.22, 119.974, 0, 0, 0, 0, 0, 0
1, 1200.00000, 7962.65, 119.974, 0, 0, 0, 0, 0, 0
1, 1800.00000, 7962.44, 119.973, 0, 0, 0, 0, 0, 0
1, 2400.00000, 7962.61, 119.976, 0, 0, 0, 0, 0, 0
1, 3000.00000, 7962.52, 119.974, 0, 0, 0, 0, 0, 0
2, 0.00000, 7962.77, 119.974, 0, 0, 0, 0, 0, 0
2, 600.00000, 7962.75, 119.974, 0, 0, 0, 0, 0, 0
2, 1200.00000, 7962.63, 119.976, 0, 0, 0, 0, 0, 0
2, 1800.00000, 7962.08, 119.975, 0, 0, 0, 0, 0, 0
2, 2400.00000, 7963.11, 119.974, 0, 0, 0, 0, 0, 0
2, 3000.00000, 7962.7, 119.975, 0, 0, 0, 0, 0, 0
3, 0.00000, 7962.92, 119.975, 0, 0, 0, 0, 0, 0
3, 600.00000, 7963.01, 119.974, 0, 0, 0, 0, 0, 0
3, 1200.00000, 7962.69, 119.975, 0, 0, 0, 0, 0, 0
3, 1800.00000, 7962.76, 119.974, 0, 0, 0, 0, 0, 0
3, 2400.00000, 7962.39, 119.975, 0, 0, 0, 0, 0, 0
3, 3000.00000, 7962.49, 119.975, 0, 0, 0, 0, 0, 0
4, 0.00000, 7963.08, 119.976, 0, 0, 0, 0, 0, 0
4, 600.00000, 7963.02, 119.976, 0, 0, 0, 0, 0, 0
4, 1200.00000, 7963.02, 119.974, 0, 0, 0, 0, 0, 0
4, 1800.00000, 7962.99, 119.977, 0, 0, 0, 0, 0, 0
4, 2400.00000, 7962.94, 119.975, 0, 0, 0, 0, 0, 0
4, 3000.00000, 7963.23, 119.975, 0, 0, 0, 0, 0, 0
5, 0.00000, 7963.3, 119.975, 0, 0, 0, 0, 0, 0
5, 600.00000, 7962.56, 119.976, 0, 0, 0, 0, 0, 0
5, 1200.00000, 7963.22, 119.975, 0, 0, 0, 0, 0, 0
5, 1800.00000, 7963.04, 119.975, 0, 0, 0, 0, 0, 0
5, 2400.00000, 7963.07, 119.978, 0, 0, 0, 0, 0, 0
5, 3000.00000, 7963.01, 119.974, 0, 0, 0, 0, 0, 0
6, 0.00000, 7962.99, 119.974, 0, 0, 0, 0, 0, 0
6, 600.00000, 7962.46, 119.972, 0, 0, 0, 0, 0, 0
6, 1200.00000, 7962.6, 119.975, 0, 0, 0, 0, 0, 0
6, 1800.00000, 7962.1, 119.974, 0, 0, 0, 0, 0, 0
6, 2400.00000, 7962.48, 119.973, 0, 0, 0, 0, 0, 0
6, 3000.00000, 7962.19, 119.973, 0, 0, 0, 0, 0, 0
7, 0.00000, 7962.51, 119.974, 0, 0, 0, 0, 0, 0
7, 600.00000, 7962.18, 119.97, 0, 0, 0, 0, 0, 0
7, 1200.00000, 7961.68, 119.969, 0, 0, 0, 0, 0, 0
7, 1800.00000, 7959.85, 119.948, 0, 0, 0, 0, 0, 0
7, 2400.00000, 7959.11, 119.944, 0, 0, 0, 0, 0, 0
7, 3000.00000, 7957.59, 119.934, 0, 0, 0, 0, 0, 0
8, 0.00000, 7956.71, 119.931, 0, 0, 0, 0, 0, 0
8, 600.00000, 7955.68, 119.922, 0, 0, 0, 0, 0, 0
8, 1200.00000, 7955.49, 119.92, 0, 0, 0, 0, 0, 0
8, 1800.00000, 7954.52, 119.916, 0, 0, 0, 0, 0, 0
8, 2400.00000, 7952.48, 119.911, 0, 0, 0, 0, 0, 0
8, 3000.00000, 7952.1, 119.903, 0, 0, 0, 0, 0, 0
9, 0.00000, 7951.28, 119.898, 0, 0, 0, 0, 0, 0
9, 600.00000, 7950.64, 119.883, 0, 0, 0, 0, 0, 0
9, 1200.00000, 7949.98, 119.873, 0, 0, 0, 0, 0, 0
9, 1800.00000, 7949.84, 119.867, 0, 0, 0, 0, 0, 0
9, 2400.00000, 7949.05, 119.864, 0, 0, 0, 0, 0, 0
9, 3000.00000, 7948, 119.859, 0, 0, 0, 0, 0, 0
10, 0.00000, 7947.5, 119.854, 0, 0, 0, 0, 0, 0
10, 600.00000, 7947.58, 119.848, 0, 0, 0, 0, 0, 0
10, 1200.00000, 7946.61, 119.848, 0, 0, 0, 0, 0, 0
10, 1800.00000, 7947.2, 119.847, 0, 0, 0, 0, 0, 0
10, 2400.00000, 7946.92, 119.848, 0, 0, 0, 0, 0, 0
10, 3000.00000, 7947.44, 119.847, 0, 0, 0, 0, 0, 0
11, 0.00000, 7947.31, 119.862, 0, 0, 0, 0, 0, 0
11, 600.00000, 7947, 119.857, 0, 0, 0, 0, 0, 0
11, 1200.00000, 7944.59, 119.847, 0, 0, 0.0774022, -150.153, 0.0774022, 29.847
11, 1800.00000, 7942.47, 119.825, 0, 0, 2.67162, 115.594, 2.67162, -64.4064
11, 2400.00000, 7942.38, 119.825, 0, 0, 2.67248, 115.305, 2.67248, -64.6952
11, 3000.00000, 7941.99, 119.826, 0, 0, 2.68779, 115.332, 2.68779, -64.6678
12, 0.00000, 7941.16, 119.823, 0, 0, 2.6811, 115.693, 2.6811, -64.3067
12, 600.00000, 7942.65, 119.828, 0, 0, 2.70061, 115.395, 2.70061, -64.6048
12, 1200.00000, 7942.61, 119.83, 0, 0, 2.68413, 115.515, 2.68413, -64.4848
12, 1800.00000, 7942.96, 119.831, 0, 0, 2.68397, 115.432, 2.68397, -64.5681
12, 2400.00000, 7941.24, 119.83, 0, 0, 2.64574, 115.015, 2.64574, -64.9851
12, 3000.00000, 7942.23, 119.824, 0, 0, 2.65859, 115.468, 2.65859, -64.5318
13, 0.00000, 7943.52, 119.828, 0, 0, 2.66001, 115.116, 2.66001, -64.8842
13, 600.00000, 7944.53, 119.828, 0, 0, 2.66827, 115.503, 2.66827, -64.4969
13, 1200.00000, 7944.84, 119.83, 0, 0, 2.68082, 115.234, 2.68082, -64.7659
13, 1800.00000, 7944.38, 119.828, 0, 0, 2.67944, 115.397, 2.67944, -64.6029
13, 2400.00000, 7944.05, 119.828, 0, 0, 2.67363, 115.472, 2.67363, -64.5285
13, 3000.00000, 7944.08, 119.831, 0, 0, 2.66025, 115.306, 2.66025, -64.6939
14, 0.00000, 7944.43, 119.834, 0, 0, 2.66976, 115.324, 2.66976, -64.6759
14, 600.00000, 7944, 119.832, 0, 0, 2.66749, 114.944, 2.66749, -65.0556
14, 1200.00000, 7945.78, 119.838, 0, 0, 2.69054, 115.463, 2.69054, -64.5371
14, 1800.00000, 7945.29, 119.842, 0, 0, 2.70156, 115.527, 2.70156, -64.4728
14, 2400.00000, 7944.93, 119.843, 0, 0, 2.68631, 114.904, 2.68631, -65.0965
14, 3000.00000, 7945.56, 119.842, 0, 0, 2.70234, 115.445, 2.70234, -64.5552
15, 0.00000, 7950.28, 119.873, 0, 0, 0, 0, 0, 0
15, 600.00000, 7950.57, 119.871, 0, 0, 0, 0, 0, 0
15, 1200.00000, 7949.61, 119.876, 0, 0, 0, 0, 0, 0
15, 1800.00000, 7949.58, 119.862, 0, 0, 0, 0, 0, 0
15, 2400.00000, 7949.79, 119.862, 0, 0, 0, 0, 0, 0
15, 3000.00000, 7950.23, 119.86, 0, 0, 0, 0, 0, 0
16, 0.00000, 7950.82, 119.864, 0, 0, 0, 0, 0, 0
16, 600.00000, 7952.16, 119.869, 0, 0, 0, 0, 0, 0
16, 1200.00000, 7951.98, 119.875, 0, 0, 0, 0, 0, 0
16, 1800.00000, 7952.99, 119.885, 0, 0, 0, 0, 0, 0
16, 2400.00000, 7953.11, 119.888, 0, 0, 0, 0, 0, 0
16, 3000.00000, 7953.76, 119.893, 0, 0, 0, 0, 0, 0
17, 0.00000, 7954.65, 119.897, 0, 0, 0, 0, 0, 0
17, 600.00000, 7954.95, 119.898, 0, 0, 0, 0, 0, 0
17, 1200.00000, 7956.16, 119.904, 0, 0, 0, 0, 0, 0
17, 1800.00000, 7957.01, 119.908, 0, 0, 0, 0, 0, 0
17, 2400.00000, 7957.95, 119.917, 0, 0, 0, 0, 0, 0
17, 3000.00000, 7958.36, 119.921, 0, 0, 0, 0, 0, 0
18, 0.00000, 7958.68, 119.926, 0, 0, 0, 0, 0, 0
18, 600.00000, 7958.82, 119.929, 0, 0, 0, 0, 0, 0
18, 1200.00000, 7959.7, 119.938, 0, 0, 0, 0, 0, 0
18, 1800.00000, 7959.5, 119.94, 0, 0, 0, 0, 0, 0
18, 2400.00000, 7959.79, 119.942, 0, 0, 0, 0, 0, 0
18, 3000.00000, 7959.85, 119.946, 0, 0, 0, 0, 0, 0
19, 0.00000, 7961.71, 119.966, 0, 0, 0, 0, 0, 0
19, 600.00000, 7961.8, 119.966, 0, 0, 0, 0, 0, 0
19, 1200.00000, 7961.82, 119.968, 0, 0, 0, 0, 0, 0
19, 1800.00000, 7961.6, 119.966, 0, 0, 0, 0, 0, 0
19, 2400.00000, 7961.8, 119.966, 0, 0, 0, 0, 0, 0
19, 3000.00000, 7961.85, 119.968, 0, 0, 0, 0, 0, 0
20, 0.00000, 7961.29, 119.966, 0, 0, 0, 0, 0, 0
20, 600.00000, 7961.76, 119.968, 0, 0, 0, 0, 0, 0
20, 1200.00000, 7961.58, 119.968, 0, 0, 0, 0, 0, 0
20, 1800.00000, 7962.11, 119.97, 0, 0, 0, 0, 0, 0
20, 2400.00000, 7961.81, 119.968, 0, 0, 0, 0, 0, 0
20, 3000.00000, 7962.1, 119.97, 0, 0, 0, 0, 0, 0
21, 0.00000, 7962.21, 119.97, 0, 0, 0, 0, 0, 0
21, 600.00000, 7962.23, 119.971, 0, 0, 0, 0, 0, 0
21, 1200.00000, 7962.11, 119.973, 0, 0, 0, 0, 0, 0
21, 1800.00000, 7961.54, 119.973, 0, 0, 0, 0, 0, 0
21, 2400.00000, 7962.34, 119.971, 0, 0, 0, 0, 0, 0
21, 3000.00000, 7961.96, 119.972, 0, 0, 0, 0, 0, 0
22, 0.00000, 7962.08, 119.972, 0, 0, 0, 0, 0, 0
22, 600.00000, 7961.86, 119.971, 0, 0, 0, 0, 0, 0
22, 1200.00000, 7962.4, 119.973, 0, 0, 0, 0, 0, 0
22, 1800.00000, 7962.06, 119.972, 0, 0, 0, 0, 0, 0
22, 2400.00000, 7961.73, 119.972, 0, 0, 0, 0, 0, 0
22, 3000.00000, 7962.19, 119.971, 0, 0, 0, 0, 0, 0
23, 0.00000, 7962.16, 119.972, 0, 0, 0, 0, 0, 0
23, 600.00000, 7961.99, 119.972, 0, 0, 0, 0, 0, 0
23, 1200.00000, 7961.45, 119.969, 0, 0, 0, 0, 0, 0
23, 1800.00000, 7962.04, 119.971, 0, 0, 0, 0, 0, 0
23, 2400.00000, 7962.01, 119.971, 0, 0, 0, 0, 0, 0
23, 3000.00000, 7961.92, 119.973, 0, 0, 0, 0, 0, 0
24, 0.00000, 7962.47, 119.973, 0, 0, 0, 0, 0, 0
