hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 600.00000, 39.3294, 24.6463, 24.8234, 4.15851, 49.8302, 1.83713
0, 1200.00000, 40.9343, 24.9926, 27.3088, 6.67022, 50.0004, 4.02905
0, 1800.00000, 39.1175, 25.0914, 26.6817, 6.1056, 49.3525, 4.8263
0, 2400.00000, 41.026, 25.1674, 26.6237, 6.14949, 50.3054, 3.18252
0, 3000.00000, 39.6472, 25.923, 25.1905, 7.15196, 48.6858, 4.01457
1, 0.00000, 39.4227, 22.8628, 23.8419, 5.4132, 46.7548, 0.641324
1, 600.00000, 39.4671, 27.154, 28.1934, 3.42723, 54.3896, 5.52351
1, 1200.00000, 37.7957, 21.7638, 23.5061, 5.47662, 44.7668, 1.24256
1, 1800.00000, 38.9076, 23.0594, 23.2102, 6.15088, 45.7129, 1.00767
1, 2400.00000, 42.2166, 27.8868, 27.3445, 5.44049, 54.2305, 3.78073
1, 3000.00000, 41.2528, 24.3365, 26.5027, 6.46135, 49.3689, 2.62222
2, 0.00000, 39.1378, 21.9366, 23.7672, 7.2152, 44.2127, 1.26205
2, 600.00000, 42.0021, 25.0879, 26.0471, 7.41088, 49.3447, 2.42967
2, 1200.00000, 39.8035, 22.2244, 24.3631, 6.48968, 45.7207, 0.983773
2, 1800.00000, 41.3706, 22.7623, 27.2886, 9.50404, 45.8228, 3.93565
2, 2400.00000, 39.0541, 21.2543, 23.7459, 9.89716, 41.2471, 2.31645
2, 3000.00000, 36.7423, 19.2294, 20.9389, 7.29779, 39.1839, -0.4245
3, 0.00000, 42.5201, 25.8572, 26.7852, 8.84828, 49.3938, 3.7234
3, 600.00000, 38.6872, 24.1171, 23.7441, 9.97656, 43.4728, 4.104
3, 1200.00000, 37.3169, 19.1058, 21.5089, 8.24675, 38.8274, -0.0150912
3, 1800.00000, 40.6365, 23.1526, 24.5206, 9.4954, 44.4172, 2.36588
3, 2400.00000, 45.9081, 22.0511, 27.0472, 10.034, 46.8965, -0.293809
3, 3000.00000, 37.0627, 20.82, 24.3899, 7.08106, 42.6349, 2.97439
4, 0.00000, 38.9611, 21.4241, 22.6041, 9.18517, 41.392, 1.13825
4, 600.00000, 38.7936, 19.7019, 22.1394, 7.72384, 40.8499, -0.711603
4, 1200.00000, 40.3809, 24.2115, 25.5714, 5.84916, 48.8893, 2.20261
4, 1800.00000, 38.4742, 18.9038, 22.1692, 9.86852, 38.1565, 0.264946
4, 2400.00000, 38.6035, 19.0948, 22.049, 9.54996, 38.6027, -0.0153516
4, 3000.00000, 41.9493, 23.3911, 24.3774, 8.52583, 46.0483, 0.739187
5, 0.00000, 38.5678, 23.2511, 22.3691, 5.63555, 45.7347, 0.413042
5, 600.00000, 39.5264, 20.1745, 25.327, 9.15592, 41.9793, 2.3672
5, 1200.00000, 38.7015, 20.4218, 24.4623, 9.63259, 40.9358, 2.69431
5, 1800.00000, 37.6011, 20.8365, 21.2869, 6.55641, 41.821, -0.433998
5, 2400.00000, 38.7373, 21.8888, 25.1455, 4.47932, 47.0279, 1.41142
5, 3000.00000, 36.8024, 20.662, 22.2201, 8.51142, 40.0445, 1.9566
6, 0.00000, 38.2656, 20.6357, 22.3596, 9.86661, 39.6498, 1.47435
6, 600.00000, 40.8983, 25.0775, 25.2383, 8.88362, 47.1037, 3.41624
6, 1200.00000, 37.3209, 21.6361, 21.0361, 5.08614, 43.5219, -0.744515
6, 1800.00000, 36.992, 19.9941, 21.2878, 10.3069, 37.5403, 1.54766
6, 2400.00000, 35.3266, 22.3223, 21.4412, 7.3332, 41.3755, 2.79957
6, 3000.00000, 29.8936, 17.7892, 16.1436, 1.1753, 37.416, -2.42833
7, 0.00000, 31.3997, 18.0863, 18.3402, 0.473944, 40.1322, -2.03243
7, 600.00000, 35.511, 18.0269, 20.246, 7.69556, 36.837, -0.360995
7, 1200.00000, 30.7322, 11.7467, 1.5003, 3.00985, 32.0784, -3.36042
7, 1800.00000, 76.6942, 21.0219, 65.208, 5.4703, 83.996, 2.08612
7, 2400.00000, 91.5107, 29.4941, 72.9512, 7.23702, 99.632, -1.4124
7, 3000.00000, 106.866, 35.5165, 82.7082, 11.9472, 113.391, -0.928896
8, 0.00000, 131.676, 47.0341, 105.822, 19.8778, 142.157, 10.3523
8, 600.00000, 133.343, 47.4901, 110.912, 16.5231, 147.483, 9.32523
8, 1200.00000, 137.958, 47.8679, 110.925, 11.9762, 154.855, 4.69633
8, 1800.00000, 147.759, 46.1184, 109.09, 17.4934, 154.283, 0.257939
8, 2400.00000, 154.021, 48.4512, 118.462, 12.9939, 168.306, 3.20018
8, 3000.00000, 167.973, 59.6963, 132.479, 9.47266, 195.343, 6.70396
9, 0.00000, 185.105, 46.0557, 155.116, 13.1627, 199.409, 5.16143
9, 600.00000, 213.337, 57.0087, 176.196, 16.9625, 229.792, 4.91531
9, 1200.00000, 234.042, 73.9855, 185.856, 16.2869, 257.728, -1.59304
9, 1800.00000, 265.411, 72.8253, 205.748, 26.6995, 274.468, -4.82962
9, 2400.00000, 258.3, 62.1186, 203.881, 20.961, 266.243, -7.47838
9, 3000.00000, 274.564, 59.922, 229.927, 21.3619, 286.078, 2.30471
10, 0.00000, 268.4, 61.1506, 226.969, 17.9593, 283.736, 0.285875
10, 600.00000, 275.481, 62.86, 228.276, 19.6393, 290.619, 2.97642
10, 1200.00000, 278.835, 59.6939, 236.15, 24.1087, 287.414, 2.31423
10, 1800.00000, 283.133, 62.4577, 240.585, 19.2549, 300.608, 6.01185
10, 2400.00000, 274.492, 60.3847, 234.14, 12.7389, 296.316, 3.52495
10, 3000.00000, 284.707, 59.1194, 247.072, 14.3079, 303.62, 1.10701
11, 0.00000, 222.902, 49.4895, 184.483, 6.42268, 241.128, -5.33067
11, 600.00000, 217.018, 48.6046, 189.39, 7.65158, 238.814, 4.18081
11, 1200.00000, 216.345, 54.2646, 158.439, 3.62209, 243.921, 0.507023
11, 1800.00000, 292.059, 59.2958, 262.139, 13.1952, 316.588, 8.48557
11, 2400.00000, 271.049, 54.3136, 238.804, 14.3685, 286.902, 0.869558
11, 3000.00000, 288.741, 66.3876, 244.087, 20.2768, 303.817, -0.929406
12, 0.00000, 288.965, 64.4302, 234.493, 18.387, 301.572, -6.83788
12, 600.00000, 299.351, 72.5718, 251.867, 28.0625, 312.082, 4.3528
12, 1200.00000, 301.082, 66.4273, 248.155, 27.7289, 307.223, -1.42378
12, 1800.00000, 279.825, 51.0748, 225.899, 21.0512, 280.546, -7.69433
12, 2400.00000, 302.91, 65.1152, 248.827, 24.2346, 313.388, 2.76395
12, 3000.00000, 306.599, 72.8377, 251.955, 26.7418, 321.709, 6.75748
13, 0.00000, 302.143, 63.0496, 254.015, 28.8068, 309.009, 6.5334
13, 600.00000, 284.885, 53.2749, 228.274, 33.1176, 274.573, -5.64598
13, 1200.00000, 284.287, 62.4697, 221.702, 38.2926, 270.648, -11.2417
13, 1800.00000, 299.295, 65.3327, 238.579, 42.1568, 287.355, -3.14874
13, 2400.00000, 292.079, 60.8525, 226.205, 43.4823, 273.386, -7.67007
