hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 7966.12, -0.0169884, 7966.56, -120.014, 7966.75, 119.982, 7.97084, -24.1374, 7.59703, -140.77, 8.18328, 99.7754
0, 1200.00000, 7966.12, -0.0171633, 7966.53, -120.014, 7966.75, 119.982, 7.91297, -24.9288, 7.39086, -141.182, 8.09359, 100.086
0, 1800.00000, 7966.19, -0.0166509, 7966.6, -120.013, 7966.77, 119.982, 7.83433, -25.782, 7.16796, -138.291, 8.35267, 101.769
0, 2400.00000, 7966.12, -0.0167481, 7966.59, -120.014, 7966.71, 119.982, 8.08086, -26.4855, 7.34153, -139.289, 8.55684, 101.241
0, 3000.00000, 7966.11, -0.0164264, 7966.6, -120.013, 7966.73, 119.982, 7.93513, -25.2142, 7.44466, -139.433, 8.36228, 100.5
1, 0.00000, 7966.03, -0.0168274, 7966.55, -120.014, 7966.69, 119.982, 7.773, -28.1105, 6.97601, -139.952, 8.29119, 100.537
1, 600.00000, 7965.96, -0.0170157, 7966.51, -120.014, 7966.63, 119.981, 7.93681, -27.9844, 7.0146, -140.061, 8.38774, 101.211
1, 1200.00000, 7966.11, -0.0170809, 7966.55, -120.013, 7966.78, 119.982, 8.06227, -24.8516, 7.41398, -139.227, 8.40449, 101.679
1, 1800.00000, 7966.12, -0.0167075, 7966.63, -120.013, 7966.79, 119.982, 7.81826, -24.4787, 7.23225, -137.712, 8.29615, 102.287
1, 2400.00000, 7966.14, -0.0167814, 7966.61, -120.014, 7966.72, 119.982, 7.64294, -23.9781, 7.21349, -136.698, 8.23817, 102.15
1, 3000.00000, 7966.17, -0.0169395, 7966.61, -120.014, 7966.78, 119.982, 7.69795, -23.2312, 7.20525, -137.432, 8.10596, 102.595
2, 0.00000, 7966.16, -0.0165461, 7966.62, -120.013, 7966.86, 119.983, 7.48358, -25.3901, 6.88427, -138.617, 7.92263, 101.619
2, 600.00000, 7966.15, -0.0172294, 7966.55, -120.014, 7966.8, 119.982, 8.04062, -22.9819, 7.69918, -139.414, 8.29584, 100.808
2, 1200.00000, 7966.14, -0.0174436, 7966.45, -120.014, 7966.74, 119.982, 8.07682, -23.8773, 7.80912, -139.576, 8.45708, 99.8104
2, 1800.00000, 7966.04, -0.0171152, 7966.45, -120.014, 7966.68, 119.982, 7.6671, -26.7168, 7.13887, -138.893, 8.27249, 100.234
2, 2400.00000, 7966.13, -0.0165982, 7966.57, -120.012, 7966.86, 119.983, 7.65088, -26.1898, 6.97949, -137.666, 8.25556, 101.927
2, 3000.00000, 7966.22, -0.01654, 7966.61, -120.013, 7966.86, 119.983, 7.58987, -25.5561, 7.2721, -137.294, 8.34342, 100.383
3, 0.00000, 7966.15, -0.0165592, 7966.57, -120.013, 7966.75, 119.982, 7.5345, -25.9965, 7.34749, -135.912, 8.54665, 100.073
3, 600.00000, 7966.19, -0.0165055, 7966.58, -120.013, 7966.84, 119.983, 7.55963, -24.2662, 7.23589, -137.578, 8.13745, 100.984
3, 1200.00000, 7966.27, -0.0169431, 7966.58, -120.013, 7966.88, 119.983, 7.42522, -21.3649, 7.31569, -136.574, 7.89849, 101.703
3, 1800.00000, 7966.2, -0.0173033, 7966.54, -120.013, 7966.84, 119.983, 7.38624, -22.2252, 7.15112, -136.669, 7.87324, 101.993
3, 2400.00000, 7966.13, -0.0174152, 7966.53, -120.013, 7966.82, 119.982, 7.52498, -23.6881, 6.98098, -136.983, 7.9885, 102.926
3, 3000.00000, 7966.18, -0.017223, 7966.48, -120.014, 7966.76, 119.983, 7.32915, -22.237, 7.33343, -137.152, 7.88772, 100.28
4, 0.00000, 7966.3, -0.0169583, 7966.55, -120.013, 7966.85, 119.983, 7.35652, -21.2255, 7.45498, -135.321, 8.05743, 101.141
4, 600.00000, 7966.31, -0.0163128, 7966.63, -120.013, 7966.89, 119.983, 7.58537, -24.4296, 7.25963, -138.733, 8.05724, 100.367
4, 1200.00000, 7966.24, -0.0168087, 7966.64, -120.013, 7966.86, 119.982, 7.87924, -21.7582, 7.49532, -138.849, 8.02983, 102.035
4, 1800.00000, 7966.34, -0.0168409, 7966.56, -120.013, 7966.89, 119.984, 7.66512, -22.1233, 7.51678, -138.298, 8.02695, 100.69
4, 2400.00000, 7966.29, -0.0168538, 7966.57, -120.013, 7966.89, 119.983, 7.77897, -24.1914, 7.34692, -139.087, 8.14733, 100.924
4, 3000.00000, 7966.23, -0.0170814, 7966.57, -120.013, 7966.89, 119.983, 7.82898, -23.975, 7.47953, -139.056, 8.22181, 100.541
5, 0.00000, 7966.28, -0.0166941, 7966.64, -120.013, 7966.91, 119.983, 7.52647, -23.3732, 7.44784, -136.283, 8.27533, 100.627
5, 600.00000, 7966.25, -0.0174628, 7966.5, -120.014, 7966.79, 119.983, 7.79289, -23.9713, 7.51132, -136.861, 8.46283, 101.174
5, 1200.00000, 7966.31, -0.0164521, 7966.62, -120.013, 7966.87, 119.983, 7.49576, -22.5186, 7.28225, -137.002, 7.99871, 101.527
5, 1800.00000, 7966.36, -0.0159454, 7966.75, -120.013, 7966.96, 119.983, 6.98832, -21.7607, 6.99813, -135.941, 7.59944, 101.088
5, 2400.00000, 7966.38, -0.0162385, 7966.68, -120.014, 7966.85, 119.983, 7.31142, -21.3327, 7.20996, -135.785, 7.8616, 102.064
5, 3000.00000, 7966.31, -0.0165236, 7966.65, -120.013, 7966.93, 119.983, 7.43374, -22.3935, 6.95152, -136.072, 7.87934, 103.705
6, 0.00000, 7966.27, -0.0166458, 7966.68, -120.013, 7966.96, 119.983, 7.63977, -22.4463, 7.05413, -135.568, 8.1122, 104.448
6, 600.00000, 7966.2, -0.0172295, 7966.64, -120.014, 7966.85, 119.982, 7.67528, -23.7661, 7.01284, -138.098, 7.98386, 103.067
6, 1200.00000, 7966.17, -0.0165333, 7966.64, -120.013, 7966.86, 119.982, 7.87666, -24.9472, 6.87203, -140.494, 7.91119, 103.448
6, 1800.00000, 7966.07, -0.0162853, 7966.61, -120.012, 7966.82, 119.982, 7.96353, -26.846, 6.72339, -142.566, 7.88395, 102.95
6, 2400.00000, 7966.13, -0.0156655, 7966.7, -120.012, 7966.82, 119.982, 8.0709, -25.8715, 7.20929, -143.856, 7.90664, 100.497
6, 3000.00000, 7966.17, -0.0162145, 7966.69, -120.013, 7966.84, 119.982, 8.08424, -24.9279, 7.35791, -144.235, 7.8273, 100.013
7, 0.00000, 7966.17, -0.0164199, 7966.63, -120.013, 7966.81, 119.982, 7.95073, -24.7472, 7.33832, -143.027, 7.86044, 99.9493
7, 600.00000, 7966.05, -0.0177996, 7966.56, -120.013, 7966.88, 119.981, 9.02401, -23.3585, 7.46512, -144.614, 8.20128, 105.55
7, 1200.00000, 7965.99, -0.0204799, 7966.67, -120.01, 7966.96, 119.98, 10.6806, -18.3054, 5.57544, -158.164, 8.8378, 112.464
7, 1800.00000, 7965.02, -0.0379488, 7965.51, -120.032, 7966.06, 119.962, 20.0206, -13.2026, 17.5032, -134.523, 18.409, 113.614
7, 2400.00000, 7964.66, -0.041988, 7965.24, -120.036, 7965.83, 119.958, 23.0096, -14.3419, 19.9318, -133.721, 21.4072, 114.69
7, 3000.00000, 7964.23, -0.0465335, 7964.98, -120.04, 7965.58, 119.952, 24.6435, -15.3233, 21.2547, -134.108, 23.1272, 114.008
8, 0.00000, 7963.75, -0.0505223, 7964.66, -120.042, 7965.23, 119.948, 26.3241, -16.7402, 20.9604, -136.762, 24.0478, 114.674
8, 600.00000, 7963.29, -0.0546568, 7964.4, -120.045, 7965.13, 119.943, 30.5382, -16.7436, 23.3374, -138.654, 26.5859, 117.1
8, 1200.00000, 7962.9, -0.0594239, 7964.13, -120.048, 7964.99, 119.939, 34.7085, -17.0212, 25.8157, -139.522, 29.987, 117.35
8, 1800.00000, 7962.69, -0.0642235, 7963.82, -120.051, 7964.81, 119.935, 37.248, -17.0675, 26.6132, -140.345, 31.9494, 117.786
8, 2400.00000, 7962.26, -0.0700709, 7963.35, -120.057, 7964.24, 119.93, 41.9563, -16.8975, 30.8371, -141.071, 35.7469, 116.128
8, 3000.00000, 7961.78, -0.0770059, 7962.84, -120.063, 7963.81, 119.923, 46.4403, -15.9221, 35.0279, -140.533, 39.5161, 115.954
9, 0.00000, 7961.64, -0.0836104, 7962.43, -120.07, 7963.64, 119.918, 50.4066, -15.619, 37.9385, -139.929, 42.8677, 116.808
9, 600.00000, 7961.02, -0.0903775, 7962.15, -120.074, 7963.6, 119.911, 53.4104, -15.067, 39.3424, -139.539, 45.0127, 118.741
9, 1200.00000, 7960.48, -0.0967476, 7961.82, -120.079, 7963.54, 119.904, 56.2278, -14.3915, 42.5593, -137.95, 47.7913, 119.389
9, 1800.00000, 7960.34, -0.103685, 7961.55, -120.083, 7963.53, 119.899, 59.4913, -12.9219, 45.2494, -136.545, 50.8178, 120.112
9, 2400.00000, 7960.32, -0.108063, 7961.34, -120.088, 7963.28, 119.895, 64.1659, -12.5173, 49.6378, -136.554, 54.7937, 119.338
9, 3000.00000, 7959.99, -0.113833, 7960.92, -120.094, 7962.78, 119.89, 68.4455, -12.4492, 53.0335, -136.939, 58.251, 118.797
10, 0.00000, 7959.72, -0.117376, 7960.73, -120.098, 7962.67, 119.886, 71.7741, -12.7307, 55.5476, -136.444, 61.4484, 119.397
10, 600.00000, 7959.49, -0.12057, 7960.67, -120.099, 7962.53, 119.883, 73.5935, -13.0521, 56.365, -135.74, 64.3538, 118.799
10, 1200.00000, 7959.5, -0.121184, 7960.53, -120.103, 7962.33, 119.882, 73.3608, -12.8906, 57.9869, -134.766, 64.9956, 118.489
10, 1800.00000, 7959.52, -0.122755, 7960.61, -120.103, 7962.41, 119.88, 74.2126, -11.9055, 56.5149, -135.331, 64.1016, 120.158
10, 2400.00000, 7959.68, -0.122797, 7960.63, -120.102, 7962.59, 119.882, 73.0724, -11.6813, 55.2222, -135.669, 62.3758, 120.649
10, 3000.00000, 7959.89, -0.122046, 7960.61, -120.103, 7962.72, 119.883, 70.5719, -11.015, 55.1233, -134.796, 60.5449, 120.585
