hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 7965.99, -120.014, 0, 0, 0, 0, 0, 0
0, 1200.00000, 7965.96, -120.014, 0, 0, 0, 0, 0, 0
0, 1800.00000, 7966.08, -120.014, 0, 0, 0, 0, 0, 0
0, 2400.00000, 7966.04, -120.014, 0, 0, 0, 0, 0, 0
0, 3000.00000, 7966.05, -120.014, 0, 0, 0, 0, 0, 0
1, 0.00000, 7966.03, -120.014, 0, 0, 0, 0, 0, 0
1, 600.00000, 7965.94, -120.014, 0, 0, 0, 0, 0, 0
1, 1200.00000, 7965.97, -120.014, 0, 0, 0, 0, 0, 0
1, 1800.00000, 7966.07, -120.014, 0, 0, 0, 0, 0, 0
1, 2400.00000, 7966.08, -120.014, 0, 0, 0, 0, 0, 0
1, 3000.00000, 7966.05, -120.014, 0, 0, 0, 0, 0, 0
2, 0.00000, 7966.09, -120.013, 0, 0, 0, 0, 0, 0
2, 600.00000, 7966.01, -120.014, 0, 0, 0, 0, 0, 0
2, 1200.00000, 7965.88, -120.014, 0, 0, 0, 0, 0, 0
2, 1800.00000, 7965.9, -120.014, 0, 0, 0, 0, 0, 0
2, 2400.00000, 7966.02, -120.013, 0, 0, 0, 0, 0, 0
2, 3000.00000, 7966.11, -120.013, 0, 0, 0, 0, 0, 0
3, 0.00000, 7966.02, -120.014, 0, 0, 0, 0, 0, 0
3, 600.00000, 7966.03, -120.013, 0, 0, 0, 0, 0, 0
3, 1200.00000, 7966.05, -120.014, 0, 0, 0, 0, 0, 0
3, 1800.00000, 7965.99, -120.014, 0, 0, 0, 0, 0, 0
3, 2400.00000, 7966, -120.014, 0, 0, 0, 0, 0, 0
3, 3000.00000, 7965.92, -120.014, 0, 0, 0, 0, 0, 0
4, 0.00000, 7965.96, -120.014, 0, 0, 0, 0, 0, 0
4, 600.00000, 7966.11, -120.013, 0, 0, 0, 0, 0, 0
4, 1200.00000, 7966.08, -120.014, 0, 0, 0, 0, 0, 0
4, 1800.00000, 7966.03, -120.014, 0, 0, 0, 0, 0, 0
4, 2400.00000, 7966.03, -120.014, 0, 0, 0, 0, 0, 0
4, 3000.00000, 7966.01, -120.014, 0, 0, 0, 0, 0, 0
5, 0.00000, 7966.1, -120.013, 0, 0, 0, 0, 0, 0
