hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 7966.25, -120.015, 0, 0, 0, 0, 0, 0
0, 1200.00000, 7966.17, -120.014, 0, 0, 0, 0, 0, 0
0, 1800.00000, 7966.25, -120.014, 0, 0, 0, 0, 0, 0
0, 2400.00000, 7966.25, -120.015, 0, 0, 0, 0, 0, 0
0, 3000.00000, 7966.26, -120.014, 0, 0, 0, 0, 0, 0
1, 0.00000, 7966.25, -120.014, 0, 0, 0, 0, 0, 0
1, 600.00000, 7966.16, -120.015, 0, 0, 0, 0, 0, 0
1, 1200.00000, 7966.25, -120.014, 0, 0, 0, 0, 0, 0
1, 1800.00000, 7966.33, -120.014, 0, 0, 0, 0, 0, 0
1, 2400.00000, 7966.26, -120.015, 0, 0, 0, 0, 0, 0
1, 3000.00000, 7966.25, -120.015, 0, 0, 0, 0, 0, 0
2, 0.00000, 7966.3, -120.013, 0, 0, 0, 0, 0, 0
2, 600.00000, 7966.21, -120.014, 0, 0, 0, 0, 0, 0
2, 1200.00000, 7966.14, -120.014, 0, 0, 0, 0, 0, 0
2, 1800.00000, 7966.08, -120.014, 0, 0, 0, 0, 0, 0
2, 2400.00000, 7966.25, -120.012, 0, 0, 0, 0, 0, 0
2, 3000.00000, 7966.35, -120.013, 0, 0, 0, 0, 0, 0
3, 0.00000, 7966.22, -120.014, 0, 0, 0, 0, 0, 0
3, 600.00000, 7966.26, -120.013, 0, 0, 0, 0, 0, 0
3, 1200.00000, 7966.29, -120.013, 0, 0, 0, 0, 0, 0
3, 1800.00000, 7966.2, -120.014, 0, 0, 0, 0, 0, 0
3, 2400.00000, 7966.15, -120.014, 0, 0, 0, 0, 0, 0
3, 3000.00000, 7966.16, -120.014, 0, 0, 0, 0, 0, 0
4, 0.00000, 7966.24, -120.014, 0, 0, 0, 0, 0, 0
4, 600.00000, 7966.35, -120.013, 0, 0, 0, 0, 0, 0
4, 1200.00000, 7966.31, -120.014, 0, 0, 0, 0, 0, 0
4, 1800.00000, 7966.25, -120.013, 0, 0, 0, 0, 0, 0
4, 2400.00000, 7966.28, -120.013, 0, 0, 0, 0, 0, 0
4, 3000.00000, 7966.24, -120.013, 0, 0, 0, 0, 0, 0
5, 0.00000, 7966.36, -120.014, 0, 0, 0, 0, 0, 0
5, 600.00000, 7966.17, -120.014, 0, 0, 0, 0, 0, 0
5, 1200.00000, 7966.29, -120.013, 0, 0, 0, 0, 0, 0
5, 1800.00000, 7966.47, -120.013, 0, 0, 0, 0, 0, 0
5, 2400.00000, 7966.37, -120.014, 0, 0, 0, 0, 0, 0
5, 3000.00000, 7966.35, -120.013, 0, 0, 0, 0, 0, 0
6, 0.00000, 7966.38, -120.013, 0, 0, 0, 0, 0, 0
6, 600.00000, 7966.3, -120.014, 0, 0, 0, 0, 0, 0
6, 1200.00000, 7966.37, -120.013, 0, 0, 0, 0, 0, 0
6, 1800.00000, 7966.3, -120.012, 0, 0, 0, 0, 0, 0
6, 2400.00000, 7966.4, -120.013, 0, 0, 0, 0, 0, 0
6, 3000.00000, 7966.49, -120.013, 0, 0, 0, 0, 0, 0
7, 0.00000, 7966.41, -120.014, 0, 0, 0, 0, 0, 0
7, 600.00000, 7966.27, -120.013, 0, 0, 0, 0, 0, 0
7, 1200.00000, 7966.76, -120.006, 0, 0, 1.05541, 55.5224, 1.05541, -124.478
7, 1800.00000, 7964.44, -120.035, 0, 0, 2.77146, -124.507, 2.77146, 55.4932
7, 2400.00000, 7964.08, -120.04, 0, 0, 2.95298, -124.512, 2.95298, 55.4883
7, 3000.00000, 7963.71, -120.044, 0, 0, 2.96532, -124.516, 2.96532, 55.4845
8, 0.00000, 7962.93, -120.046, 0, 0, 2.74292, -124.518, 2.74292, 55.4821
8, 600.00000, 7962.55, -120.051, 0, 0, 2.93725, -124.522, 2.93725, 55.4779
8, 1200.00000, 7962.33, -120.053, 0, 0, 2.8199, -124.525, 2.8199, 55.4753
8, 1800.00000, 7962.05, -120.054, 0, 0, 2.58556, -124.526, 2.58556, 55.4742
8, 2400.00000, 7961.55, -120.062, 0, 0, 2.49386, -124.533, 2.49386, 55.4669
8, 3000.00000, 7960.9, -120.069, 0, 0, 2.49287, -124.541, 2.49287, 55.4592
9, 0.00000, 7960.13, -120.076, 0, 0, 2.59555, -124.548, 2.59555, 55.452
9, 600.00000, 7959.55, -120.081, 0, 0, 2.67247, -124.553, 2.67247, 55.4471
9, 1200.00000, 7959, -120.088, 0, 0, 3.02173, -124.56, 3.02173, 55.4403
9, 1800.00000, 7958.32, -120.092, 0, 0, 2.87788, -124.563, 2.87788, 55.4366
9, 2400.00000, 7958.21, -120.097, 0, 0, 2.79993, -124.569, 2.79993, 55.4312
9, 3000.00000, 7957.55, -120.104, 0, 0, 2.65629, -124.576, 2.65629, 55.4241
10, 0.00000, 7957.41, -120.109, 0, 0, 2.90222, -124.581, 2.90222, 55.4192
