hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
17, 1200.00000, 4.8911, 1.19047, 0, 0
17, 1800.00000, 5.09679, 1.10251, 0, 0
17, 2400.00000, 3.09936, 0.794955, 0, 0
17, 3000.00000, 2.40027, 0.79764, 0, 0
18, 0.00000, 2.43533, 0.84247, 0, 0
18, 600.00000, 2.66448, 1.24314, 0, 0
18, 1200.00000, 2.33007, 1.04351, 0, 0
18, 1800.00000, 2.43873, 0.907122, 0, 0
18, 2400.00000, 2.82519, 1.22575, 0, 0
18, 3000.00000, 2.41847, 0.863087, 0, 0
19, 0.00000, 2.83305, 1.01636, 0, 0
19, 600.00000, 2.4997, 1.14905, 0, 0
19, 1200.00000, 2.34532, 0.968869, 0, 0
19, 1800.00000, 2.33706, 0.932611, 0, 0
19, 2400.00000, 2.63616, 1.15541, 0, 0
19, 3000.00000, 2.81085, 1.08744, 0, 0
20, 0.00000, 2.44076, 0.861355, 0, 0
20, 600.00000, 2.51879, 1.13594, 0, 0
20, 1200.00000, 2.36367, 1.04316, 0, 0
20, 1800.00000, 2.56745, 1.14961, 0, 0
20, 2400.00000, 2.47768, 1.14643, 0, 0
20, 3000.00000, 2.59371, 0.977116, 0, 0
21, 0.00000, 2.71165, 1.00094, 0, 0
21, 600.00000, 2.5851, 1.10482, 0, 0
21, 1200.00000, 2.93816, 1.30038, 0, 0
21, 1800.00000, 2.2743, 0.931581, 0, 0
21, 2400.00000, 2.34936, 0.991683, 0, 0
21, 3000.00000, 2.56891, 1.1157, 0, 0
22, 0.00000, 2.3754, 0.852255, 0, 0
22, 600.00000, 2.8214, 1.04637, 0, 0
22, 1200.00000, 2.61679, 1.05082, 0, 0
22, 1800.00000, 2.38514, 0.927096, 0, 0
22, 2400.00000, 2.32554, 0.897142, 0, 0
22, 3000.00000, 2.63342, 1.19399, 0, 0
23, 0.00000, 2.69491, 1.16207, 0, 0
