hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 600.00000, 0, 0, 0, 0
0, 1200.00000, 0, 0, 0, 0
0, 1800.00000, 0, 0, 0, 0
0, 2400.00000, 0, 0, 0, 0
0, 3000.00000, 0, 0, 0, 0
1, 0.00000, 0, 0, 0, 0
1, 600.00000, 0, 0, 0, 0
1, 1200.00000, 0, 0, 0, 0
1, 1800.00000, 0, 0, 0, 0
1, 2400.00000, 0, 0, 0, 0
1, 3000.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
2, 600.00000, 0, 0, 0, 0
2, 1200.00000, 0, 0, 0, 0
2, 1800.00000, 0, 0, 0, 0
2, 2400.00000, 0, 0, 0, 0
2, 3000.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
3, 600.00000, 0, 0, 0, 0
3, 1200.00000, 0, 0, 0, 0
3, 1800.00000, 0, 0, 0, 0
3, 2400.00000, 0, 0, 0, 0
3, 3000.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
4, 600.00000, 0, 0, 0, 0
4, 1200.00000, 0, 0, 0, 0
4, 1800.00000, 0, 0, 0, 0
4, 2400.00000, 0, 0, 0, 0
4, 3000.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
5, 600.00000, 0, 0, 0, 0
5, 1200.00000, 0, 0, 0, 0
5, 1800.00000, 0, 0, 0, 0
5, 2400.00000, 0, 0, 0, 0
5, 3000.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
6, 600.00000, 0, 0, 0, 0
6, 1200.00000, 0, 0, 0, 0
6, 1800.00000, 0, 0, 0, 0
6, 2400.00000, 0, 0, 0, 0
6, 3000.00000, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0
7, 600.00000, 0, 0, 0, 0
7, 1200.00000, -8.37617, -0.655023, 0, 0
7, 1800.00000, 21.9749, 1.71847, 0, 0
7, 2400.00000, 23.407, 1.83045, 0, 0
7, 3000.00000, 23.5021, 1.83789, 0, 0
8, 0.00000, 21.7446, 1.70044, 0, 0
8, 600.00000, 23.2811, 1.8206, 0, 0
8, 1200.00000, 22.3457, 1.74746, 0, 0
8, 1800.00000, 20.4841, 1.60187, 0, 0
8, 2400.00000, 19.7525, 1.54466, 0, 0
8, 3000.00000, 19.7324, 1.54309, 0, 0
9, 0.00000, 20.5432, 1.60651, 0, 0
9, 600.00000, 21.1498, 1.65395, 0, 0
9, 1200.00000, 23.9111, 1.86986, 0, 0
9, 1800.00000, 22.7742, 1.78096, 0, 0
9, 2400.00000, 22.1497, 1.73214, 0, 0
9, 3000.00000, 21.0095, 1.64298, 0, 0
10, 0.00000, 22.9458, 1.7944, 0, 0
10, 600.00000, 20.0761, 1.56997, 0, 0
10, 1200.00000, 22.6291, 1.76962, 0, 0
10, 1800.00000, 20.3775, 1.59354, 0, 0
10, 2400.00000, 20.6856, 1.61763, 0, 0
10, 3000.00000, 22.9369, 1.79368, 0, 0
11, 0.00000, 0, 0, 0, 0
11, 600.00000, 0, 0, 0, 0
11, 1200.00000, 0, 0, 0, 0
11, 1800.00000, 0, 0, 0, 0
11, 2400.00000, 0, 0, 0, 0
11, 3000.00000, 0, 0, 0, 0
12, 0.00000, 0, 0, 0, 0
12, 600.00000, 0, 0, 0, 0
12, 1200.00000, 0, 0, 0, 0
12, 1800.00000, 0, 0, 0, 0
12, 2400.00000, 0, 0, 0, 0
12, 3000.00000, 0, 0, 0, 0
13, 0.00000, 0, 0, 0, 0
13, 600.00000, 0, 0, 0, 0
13, 1200.00000, 0, 0, 0, 0
13, 1800.00000, 0, 0, 0, 0
13, 2400.00000, 0, 0, 0, 0
13, 3000.00000, 0, 0, 0, 0
14, 0.00000, 0, 0, 0, 0
14, 600.00000, 0, 0, 0, 0
14, 1200.00000, 0, 0, 0, 0
14, 1800.00000, 0, 0, 0, 0
14, 2400.00000, 0, 0, 0, 0
14, 3000.00000, 0, 0, 0, 0
15, 0.00000, 0, 0, 0, 0
15, 600.00000, 0, 0, 0, 0
15, 1200.00000, -8.32664, -0.651151, 0, 0
15, 1800.00000, 21.8348, 1.7075, 0, 0
15, 2400.00000, 23.2686, 1.81963, 0, 0
15, 3000.00000, 23.3833, 1.82859, 0, 0
16, 0.00000, 21.6435, 1.69254, 0, 0
16, 600.00000, 23.1848, 1.81307, 0, 0
16, 1200.00000, 22.2811, 1.74238, 0, 0
16, 1800.00000, 20.4361, 1.59812, 0, 0
16, 2400.00000, 19.7233, 1.54237, 0, 0
16, 3000.00000, 19.7328, 1.54311, 0, 0
17, 0.00000, 20.5606, 1.60785, 0, 0
17, 600.00000, 21.1798, 1.65627, 0, 0
17, 1200.00000, 23.9611, 1.87378, 0, 0
17, 1800.00000, 22.8416, 1.78623, 0, 0
17, 2400.00000, 22.2268, 1.73815, 0, 0
17, 3000.00000, 21.1, 1.65003, 0, 0
18, 0.00000, 23.0563, 1.80302, 0, 0
18, 600.00000, 20.1872, 1.57865, 0, 0
18, 1200.00000, 22.7646, 1.78021, 0, 0
18, 1800.00000, 20.5069, 1.60365, 0, 0
18, 2400.00000, 20.8191, 1.62807, 0, 0
18, 3000.00000, 23.0853, 1.80529, 0, 0
19, 0.00000, 0, 0, 0, 0
19, 600.00000, 0, 0, 0, 0
19, 1200.00000, 0, 0, 0, 0
19, 1800.00000, 0, 0, 0, 0
19, 2400.00000, 0, 0, 0, 0
19, 3000.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
20, 600.00000, 0, 0, 0, 0
20, 1200.00000, 0, 0, 0, 0
20, 1800.00000, 0, 0, 0, 0
20, 2400.00000, 0, 0, 0, 0
20, 3000.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
21, 600.00000, 0, 0, 0, 0
21, 1200.00000, 0, 0, 0, 0
21, 1800.00000, 0, 0, 0, 0
21, 2400.00000, 0, 0, 0, 0
21, 3000.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
22, 600.00000, 0, 0, 0, 0
22, 1200.00000, 0, 0, 0, 0
22, 1800.00000, 0, 0, 0, 0
22, 2400.00000, 0, 0, 0, 0
22, 3000.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
23, 600.00000, 0, 0, 0, 0
23, 1200.00000, 0, 0, 0, 0
23, 1800.00000, 0, 0, 0, 0
23, 2400.00000, 0, 0, 0, 0
23, 3000.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
