Qa, Qb, Qc
0.243929517605038,0.112656702292423,-0.0799807915009061
0.20187140310102,0.38371498462938,-0.0816566775852145
0.285632600571718,0.275814432693622,-0.163502805604567
0.207224411591286,0.373831594910371,-0.0918722437383949
0.186408847955977,0.370919105962901,-0.0783104316938258
0.25800974555312,0.327619005651338,-0.0687798123323161
0.28813022335289,0.408117267074538,-0.163253720918074
0.192716894694969,0.381321681416013,-0.0675526653535571
0.213220130181818,0.333818722777235,-0.0723318976595769
0.25087997961885,0.170439188432776,-0.074424883990077
0.25121711200956,0.346437432087102,-0.138349341856983
0.19663828183228,0.514472566248231,-0.0912598601855893
0.167468627315836,0.420044603008225,-0.0692640692031388
0.234392673026071,0.218221300305478,-0.072735550333191
0.219769790780837,0.572181004255001,-0.116735240493727
0.224364165958481,0.229888967367529,-0.134981505989033
0.180387291511787,0.170255701351057,-0.0874038106901399
0.230143047905571,0.118761117644096,-0.0805773086397902
0.176105101249107,0.30184836961115,-0.0726652405009445
0.238942295018131,0.29764162940611,-0.161084728127108
0.182704500583781,0.4085882206985,-0.0759961185877276
0.203654639106236,0.410594962119104,-0.0802828997732375
0.237010568986686,0.185531037010913,-0.0812436362206654
0.204042660192555,0.447275380928892,-0.0998220695619424
0.242916504161314,0.258256315967698,-0.148267424019668
0.188566484061258,0.234122810254216,-0.0830982456103643
0.249451920132144,0.00855510944553677,-0.081290467107022
0.190383347745378,0.36400442429179,-0.0790725954501293
0.230429240994036,0.517746072978809,-0.137749708461252
0.200802450125622,0.412938784769997,-0.1180894428756
0.18018004920487,0.465121891493433,-0.0753188326937545
0.250646215207704,0.347724131330538,-0.0746007860898923
0.171692592769706,0.393454503459541,-0.0772061268365793
0.240825532395199,0.418909719477338,-0.1636586616041
0.168434719923074,0.44074222756758,-0.0792468664139537
0.207338049729138,0.113235650014334,-0.0738126477722393
0.165503515848663,0.346998109409022,-0.0828990431737421
0.202428037975221,0.483887926453767,-0.120660616461042
0.214587589184642,0.269230645723273,-0.134055746341872
0.199362524168008,0.397818485851024,-0.0983484820310849
0.746147414466442,1.87458200083975,-0.673501811913397
0.718239496118328,1.78591368742663,-0.717020809832257
0.806725636495884,1.91465654774703,-0.857245953557296
0.708665260631469,1.5727240119335,-0.727015954128045
0.763111614287398,1.51658587775914,-0.800344061538151
1.20205212371408,2.61724916725696,-1.38684258988111
1.7938892830357,2.76577281184681,-1.98839566592212
