hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
17, 1200.00000, 11.8278, 6.2094, 0, 0
17, 1800.00000, 10.6884, 5.55077, 0, 0
17, 2400.00000, 8.49595, 4.98205, 0, 0
17, 3000.00000, 8.06272, 4.52602, 0, 0
18, 0.00000, 7.77563, 4.48063, 0, 0
18, 600.00000, 6.80915, 4.24479, 0, 0
18, 1200.00000, 6.83025, 4.88264, 0, 0
18, 1800.00000, 5.84699, 5.1642, 0, 0
18, 2400.00000, 5.20693, 5.05497, 0, 0
18, 3000.00000, 4.64616, 4.89625, 0, 0
19, 0.00000, 4.50981, 5.03042, 0, 0
19, 600.00000, 4.44315, 4.66378, 0, 0
19, 1200.00000, 4.27179, 4.71353, 0, 0
19, 1800.00000, 4.41949, 4.7629, 0, 0
19, 2400.00000, 4.34851, 4.79675, 0, 0
19, 3000.00000, 4.34515, 4.72591, 0, 0
20, 0.00000, 4.63609, 4.97077, 0, 0
20, 600.00000, 4.56975, 4.94187, 0, 0
20, 1200.00000, 4.33237, 4.80546, 0, 0
20, 1800.00000, 4.33781, 4.74024, 0, 0
20, 2400.00000, 4.18546, 4.89999, 0, 0
20, 3000.00000, 4.25724, 4.83423, 0, 0
21, 0.00000, 3.97813, 4.72174, 0, 0
21, 600.00000, 4.00307, 4.60025, 0, 0
21, 1200.00000, 4.19809, 4.93323, 0, 0
21, 1800.00000, 4.294, 4.98986, 0, 0
21, 2400.00000, 4.62538, 5.4655, 0, 0
21, 3000.00000, 4.41933, 5.30369, 0, 0
22, 0.00000, 4.39807, 4.8974, 0, 0
22, 600.00000, 4.2753, 4.55661, 0, 0
22, 1200.00000, 4.26395, 4.64407, 0, 0
22, 1800.00000, 4.42876, 4.74779, 0, 0
22, 2400.00000, 4.42093, 5.09788, 0, 0
22, 3000.00000, 4.25708, 4.97373, 0, 0
23, 0.00000, 5.037, 5.38695, 0, 0
