hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
11, 2400.00000, 1943.5, 476.663, 1601.09, 479.873, 1771.16, 181.679
11, 3000.00000, 1976.08, 489.819, 1644.08, 490.129, 1811.45, 202.403
12, 0.00000, 1972.73, 502.916, 1660.73, 492.68, 1827.15, 227.503
12, 600.00000, 1934.23, 503.091, 1635.75, 501.157, 1788.12, 243.593
12, 1200.00000, 1906.17, 475.492, 1613.68, 493.033, 1746.14, 231.011
12, 1800.00000, 1866, 454.33, 1549.2, 486.785, 1680.96, 196.31
12, 2400.00000, 1928.34, 486.796, 1629.85, 501.815, 1767.54, 235.845
12, 3000.00000, 1929.82, 508.565, 1619.68, 498.271, 1785.18, 234.744
13, 0.00000, 1884.13, 493.614, 1581.73, 487.788, 1739.41, 228.755
13, 600.00000, 1862.94, 483.197, 1513.29, 484.916, 1688.24, 181.223
13, 1200.00000, 1871.05, 491.033, 1479.79, 485.603, 1681.9, 149.404
13, 1800.00000, 1893.78, 484.477, 1536.77, 487.372, 1714.44, 176.709
13, 2400.00000, 1877.93, 480.007, 1541.58, 474.054, 1716.48, 185.668
13, 3000.00000, 1829.73, 467.952, 1511.74, 450.558, 1687.25, 183.744
14, 0.00000, 1753.03, 465.994, 1457.94, 419.426, 1647.12, 186.918
14, 600.00000, 1697.45, 484.139, 1420.63, 368.553, 1660.34, 186.089
14, 1200.00000, 1576.05, 462.069, 1322.42, 325.024, 1568.95, 173.317
14, 1800.00000, 1496.15, 440.448, 1271.97, 309.258, 1498.55, 180.177
14, 2400.00000, 1541.8, 448.497, 1300.15, 332.604, 1522.3, 180.798
14, 3000.00000, 1549.15, 471.645, 1285.08, 340.096, 1532.09, 176.64
15, 0.00000, 1586.47, 498.824, 1296.05, 371.557, 1552.65, 183.159
15, 600.00000, 1601.25, 512.574, 1298.3, 379.616, 1566.16, 183.187
15, 1200.00000, 1580.1, 497.038, 1270.01, 394.193, 1515.37, 176.664
15, 1800.00000, 1638.85, 500.306, 1343.7, 437.581, 1546.83, 213.083
15, 2400.00000, 1608.96, 483.698, 1338.86, 399.917, 1547.58, 207.539
15, 3000.00000, 1585.57, 501.293, 1300.72, 364.383, 1562.87, 185.592
16, 0.00000, 1586.48, 502.427, 1292.52, 370.784, 1554.7, 181.486
16, 600.00000, 1518.55, 492.711, 1219.54, 352.959, 1491.23, 163.347
16, 1200.00000, 1426.08, 483.221, 1154.91, 321.247, 1431.77, 166.8
16, 1800.00000, 1311.33, 424.281, 1096.3, 304.658, 1308.16, 177.849
16, 2400.00000, 1235.38, 409.456, 1046.97, 293.18, 1242.5, 187.78
16, 3000.00000, 1171.29, 397.633, 1018.05, 273.701, 1202.5, 202.587
17, 0.00000, 1125.11, 391.612, 938.59, 281.11, 1128.12, 174.521
17, 600.00000, 1090.09, 422.311, 875.863, 279.637, 1107.18, 165.069
17, 1200.00000, 990.074, 390.672, 804.27, 259.275, 1011.48, 163.745
17, 1800.00000, 921.225, 351.316, 717.038, 243.308, 913.18, 120.244
17, 2400.00000, 897.861, 328.708, 681.277, 271.732, 839.425, 112.546
17, 3000.00000, 854.897, 305.037, 651.399, 271.223, 782.892, 111.843
18, 0.00000, 800.343, 296.685, 625.083, 261.719, 743.379, 127.373
18, 600.00000, 739.166, 261.814, 586.273, 239.511, 682.35, 118.226
18, 1200.00000, 645.326, 216.036, 531.514, 220.396, 584.86, 119.669
18, 1800.00000, 619.643, 211.947, 518.908, 205.873, 574.728, 121.668
18, 2400.00000, 581.393, 203.839, 509.868, 196.834, 551.84, 138.39
18, 3000.00000, 521.141, 187.569, 476.206, 179.432, 505.817, 144.578
19, 0.00000, 452.197, 175.146, 418.373, 162.902, 445.966, 139.72
19, 600.00000, 437.993, 174.89, 378.478, 168.248, 414.091, 120.027
19, 1200.00000, 422.433, 189.925, 359.999, 165.798, 412.219, 123.773
19, 1800.00000, 421.197, 193.718, 356.575, 170.32, 409.259, 126.038
19, 2400.00000, 425.868, 196.597, 352.894, 171.339, 411.375, 120.753
19, 3000.00000, 430.918, 198.071, 357.197, 180.958, 408.997, 125.662
20, 0.00000, 437.701, 204.74, 360.778, 186.006, 415.588, 128.747
20, 600.00000, 431.463, 207.837, 360.704, 182.874, 417.822, 134.059
20, 1200.00000, 432.452, 204.872, 354.409, 191.183, 405.41, 130.438
20, 1800.00000, 422.527, 206.187, 338.929, 191.976, 393.163, 126.683
20, 2400.00000, 416.282, 204.508, 328.07, 185.204, 389.026, 118.456
20, 3000.00000, 409.284, 203.687, 326.519, 185.619, 383.674, 122.972
21, 0.00000, 409.22, 195.08, 328.441, 182.185, 380.12, 118.676
21, 600.00000, 404.017, 189.46, 321.8, 181.883, 369.591, 114.475
21, 1200.00000, 391.693, 186.744, 327.782, 174.329, 370.591, 125.186
21, 1800.00000, 390.183, 188.263, 338.185, 173.231, 377.294, 135.707
21, 2400.00000, 394.715, 189.279, 329.696, 174.465, 375.14, 125.559
21, 3000.00000, 390.195, 188.964, 322.057, 175.323, 368.046, 123.131
22, 0.00000, 391.731, 193.129, 326.173, 174.261, 375.398, 126.911
22, 600.00000, 397.645, 188.324, 331.671, 176.021, 375.418, 125.035
22, 1200.00000, 387.786, 186.982, 317.551, 175.724, 362.525, 120.528
22, 1800.00000, 393.186, 189.592, 322.834, 178.367, 367.84, 123.053
22, 2400.00000, 410.945, 194.111, 341.917, 188.215, 381.647, 131.388
22, 3000.00000, 393.98, 197.121, 325.967, 176.857, 377.631, 128.078
23, 0.00000, 389.696, 190.712, 318.191, 178.015, 365.048, 122.437
23, 600.00000, 393.075, 197.45, 326.21, 179.319, 375.452, 130.47
23, 1200.00000, 397.842, 206.326, 334.313, 177.281, 391.339, 136.766
23, 1800.00000, 403.244, 205.537, 332.664, 173.704, 395.637, 128.475
23, 2400.00000, 399.812, 200.087, 325.817, 180.719, 379.703, 126.314
23, 3000.00000, 392.133, 189.675, 329.577, 172.188, 376.101, 126.749
24, 0.00000, 352.973, 195.626, 293.081, 158.913, 354.92, 125.378
