hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 7966.12, -0.0169884, 7966.56, -120.014, 7966.75, 119.982, 7.8427, -28.5768, 7.40754, -152.014, 7.23608, 92.7441
0, 1200.00000, 7966.12, -0.0171633, 7966.53, -120.014, 7966.75, 119.982, 7.80617, -28.8724, 7.36655, -152.29, 7.20189, 92.5038
0, 1800.00000, 7966.19, -0.0166509, 7966.6, -120.013, 7966.77, 119.982, 7.66652, -29.6896, 6.82405, -152.34, 6.99264, 95.0569
0, 2400.00000, 7966.12, -0.0167481, 7966.59, -120.014, 7966.71, 119.982, 7.66442, -27.1358, 7.30451, -150.382, 7.12161, 93.7933
0, 3000.00000, 7966.11, -0.0164264, 7966.6, -120.013, 7966.73, 119.982, 7.57711, -30.0422, 7.1007, -150.986, 7.24617, 92.7693
1, 0.00000, 7966.03, -0.0168274, 7966.55, -120.014, 7966.69, 119.982, 7.605, -31.0982, 6.89489, -152.14, 7.16246, 93.3357
1, 600.00000, 7965.96, -0.0170157, 7966.51, -120.014, 7966.63, 119.981, 8.10845, -31.455, 7.31302, -152.991, 7.56322, 93.0464
1, 1200.00000, 7966.11, -0.0170809, 7966.55, -120.013, 7966.78, 119.982, 8.33584, -29.7884, 7.54421, -153.255, 7.55299, 93.7786
1, 1800.00000, 7966.12, -0.0167075, 7966.63, -120.013, 7966.79, 119.982, 7.78521, -28.6802, 7.29671, -151.19, 7.26608, 93.4481
1, 2400.00000, 7966.14, -0.0167814, 7966.61, -120.014, 7966.72, 119.982, 7.71067, -30.0725, 6.9524, -150.59, 7.30415, 94.844
1, 3000.00000, 7966.17, -0.0169395, 7966.61, -120.014, 7966.78, 119.982, 7.56699, -27.8964, 7.20286, -150.912, 7.05338, 93.2002
2, 0.00000, 7966.16, -0.0165461, 7966.62, -120.013, 7966.86, 119.983, 7.61515, -30.1789, 6.84706, -151.991, 7.06441, 94.3706
