TCEl
24.4
24.3
24.3
24.2
24.2
24.1
24
24
23.9
23.8
23.8
23.7
23.6
23.6
23.5
23.5
23.4
23.4
23.4
23.3
23.3
23.2
23.2
23.2
23.1
23.1
23
23
23
22.9
22.9
22.9
22.8
22.9
22.9
22.9
23
23.0625
23.21875
23.9875
25
25.41875
27.375
29.0125
32.65625
34.2625
36.4375
37.60625
37.59375
40.66875
42.15625
43.825
42.8375
45.3875
44.43125
48.475
48.9875
49.75
50.3875
51.61875
54.38125
54.45625
53.15625
55.6
55.6125
55.0625
56.7875
56.175
58.74375
57.5625
60.6375
62.675
61.80625
59.21875
58.94375
58.29375
59.7625
59.70625
59.55625
58.93125
59.9375
58.28125
58.8125
55.0625
56.7875
57.6625
56.06875
54.5375
52.4375
51.65625
52.68125
50.9625
49.0875
47.95625
46.975
45.125
42.775
42.6125
41.35625
39.1875
39.26875
39.325
37.125
34.76875
31.95
30.875
30.89375
29.56875
27.9625
27.7
27.6
27.5
27.4
27.3
27.2
27.2
27.1
27
26.9
26.8
26.8
26.7
26.6
26.5
26.5
26.4
26.3
26.2
26.1
26.1
26
25.9
25.8
25.7
25.7
25.6
25.5
25.4
