hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 600.00000, 0, 0, 0, 0
0, 1200.00000, 0, 0, 0, 0
0, 1800.00000, 0, 0, 0, 0
0, 2400.00000, 0, 0, 0, 0
0, 3000.00000, 0, 0, 0, 0
1, 0.00000, 0, 0, 0, 0
1, 600.00000, 0, 0, 0, 0
1, 1200.00000, 0, 0, 0, 0
1, 1800.00000, 0, 0, 0, 0
1, 2400.00000, 0, 0, 0, 0
1, 3000.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
2, 600.00000, 0, 0, 0, 0
2, 1200.00000, 0, 0, 0, 0
2, 1800.00000, 0, 0, 0, 0
2, 2400.00000, 0, 0, 0, 0
2, 3000.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
3, 600.00000, 0, 0, 0, 0
3, 1200.00000, 0, 0, 0, 0
3, 1800.00000, 0, 0, 0, 0
3, 2400.00000, 0, 0, 0, 0
3, 3000.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
4, 600.00000, 0, 0, 0, 0
4, 1200.00000, 0, 0, 0, 0
4, 1800.00000, 0, 0, 0, 0
4, 2400.00000, 0, 0, 0, 0
4, 3000.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
5, 600.00000, 0, 0, 0, 0
5, 1200.00000, 0, 0, 0, 0
5, 1800.00000, 0, 0, 0, 0
5, 2400.00000, 0, 0, 0, 0
5, 3000.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
6, 600.00000, 0, 0, 0, 0
6, 1200.00000, 0, 0, 0, 0
6, 1800.00000, 0, 0, 0, 0
6, 2400.00000, 0, 0, 0, 0
6, 3000.00000, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0
7, 600.00000, 0, 0, 0, 0
7, 1200.00000, 0, 0, 0, 0
7, 1800.00000, 0, 0, 0, 0
7, 2400.00000, 0, 0, 0, 0
7, 3000.00000, 0, 0, 0, 0
8, 0.00000, 0, 0, 0, 0
8, 600.00000, 0, 0, 0, 0
8, 1200.00000, 0, 0, 0, 0
8, 1800.00000, 0, 0, 0, 0
8, 2400.00000, 0, 0, 0, 0
8, 3000.00000, 0, 0, 0, 0
9, 0.00000, 0, 0, 0, 0
9, 600.00000, 0, 0, 0, 0
9, 1200.00000, 0, 0, 0, 0
9, 1800.00000, 0, 0, 0, 0
9, 2400.00000, 0, 0, 0, 0
9, 3000.00000, 0, 0, 0, 0
10, 0.00000, 0, 0, 0, 0
10, 600.00000, 0, 0, 0, 0
10, 1200.00000, 0, 0, 0, 0
10, 1800.00000, 0, 0, 0, 0
10, 2400.00000, 0, 0, 0, 0
10, 3000.00000, 0, 0, 0, 0
11, 0.00000, 0, 0, 0, 0
11, 600.00000, 0, 0, 0, 0
11, 1200.00000, -1.99048E-007, -0.65135, 0, 0
11, 1800.00000, 21.3317, 1.71008, 0, 0
11, 2400.00000, 21.3509, 1.82274, 0, 0
11, 3000.00000, 21.4406, 1.83021, 0, 0
12, 0.00000, 21.4406, 1.69373, 0, 0
12, 600.00000, 21.5178, 1.81388, 0, 0
12, 1200.00000, 21.4112, 1.74212, 0, 0
12, 1800.00000, 21.5273, 1.59848, 0, 0
12, 2400.00000, 21.3473, 1.54144, 0, 0
12, 3000.00000, 21.2946, 1.54111, 0, 0
13, 0.00000, 21.2669, 1.60566, 0, 0
13, 600.00000, 21.2968, 1.65428, 0, 0
13, 1200.00000, 21.2677, 1.87066, 0, 0
13, 1800.00000, 21.2977, 1.78216, 0, 0
13, 2400.00000, 21.2529, 1.73428, 0, 0
13, 3000.00000, 21.2346, 1.64642, 0, 0
14, 0.00000, 21.2325, 1.79951, 0, 0
14, 600.00000, 21.4029, 1.57469, 0, 0
14, 1200.00000, 21.3962, 1.77632, 0, 0
14, 1800.00000, 21.6306, 1.60018, 0, 0
14, 2400.00000, 21.6411, 1.62388, 0, 0
14, 3000.00000, 21.4718, 1.80003, 0, 0
15, 0.00000, 0, 0, 0, 0
15, 600.00000, 0, 0, 0, 0
15, 1200.00000, -1.06654E-007, -0.651784, 0, 0
15, 1800.00000, 21.3517, 1.71167, 0, 0
15, 2400.00000, 21.3703, 1.8244, 0, 0
15, 3000.00000, 21.4641, 1.83222, 0, 0
16, 0.00000, 21.4649, 1.69566, 0, 0
16, 600.00000, 21.5484, 1.81646, 0, 0
16, 1200.00000, 21.4418, 1.7446, 0, 0
16, 1800.00000, 21.5702, 1.60167, 0, 0
16, 2400.00000, 21.4088, 1.54588, 0, 0
16, 3000.00000, 21.3615, 1.54595, 0, 0
17, 0.00000, 21.3325, 1.61061, 0, 0
17, 600.00000, 21.3537, 1.65869, 0, 0
17, 1200.00000, 21.3383, 1.87687, 0, 0
17, 1800.00000, 21.3827, 1.78929, 0, 0
17, 2400.00000, 21.3364, 1.74109, 0, 0
17, 3000.00000, 21.319, 1.65295, 0, 0
18, 0.00000, 21.3137, 1.80638, 0, 0
18, 600.00000, 21.4926, 1.58129, 0, 0
18, 1200.00000, 21.4861, 1.78379, 0, 0
18, 1800.00000, 21.7149, 1.60642, 0, 0
18, 2400.00000, 21.7335, 1.63082, 0, 0
18, 3000.00000, 21.5771, 1.80886, 0, 0
19, 0.00000, 0, 0, 0, 0
19, 600.00000, 0, 0, 0, 0
19, 1200.00000, 0, 0, 0, 0
19, 1800.00000, 0, 0, 0, 0
19, 2400.00000, 0, 0, 0, 0
19, 3000.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
20, 600.00000, 0, 0, 0, 0
20, 1200.00000, 0, 0, 0, 0
20, 1800.00000, 0, 0, 0, 0
20, 2400.00000, 0, 0, 0, 0
20, 3000.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
21, 600.00000, 0, 0, 0, 0
21, 1200.00000, 0, 0, 0, 0
21, 1800.00000, 0, 0, 0, 0
21, 2400.00000, 0, 0, 0, 0
21, 3000.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
22, 600.00000, 0, 0, 0, 0
22, 1200.00000, 0, 0, 0, 0
22, 1800.00000, 0, 0, 0, 0
22, 2400.00000, 0, 0, 0, 0
22, 3000.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
23, 600.00000, 0, 0, 0, 0
23, 1200.00000, 0, 0, 0, 0
23, 1800.00000, 0, 0, 0, 0
23, 2400.00000, 0, 0, 0, 0
23, 3000.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
