hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 7965.54, 119.979, 0, 0, 0, 0, 0, 0
0, 1200.00000, 7965.55, 119.979, 0, 0, 0, 0, 0, 0
0, 1800.00000, 7965.52, 119.979, 0, 0, 0, 0, 0, 0
0, 2400.00000, 7965.46, 119.979, 0, 0, 0, 0, 0, 0
0, 3000.00000, 7965.51, 119.979, 0, 0, 0, 0, 0, 0
1, 0.00000, 7965.46, 119.979, 0, 0, 0, 0, 0, 0
1, 600.00000, 7965.4, 119.978, 0, 0, 0, 0, 0, 0
1, 1200.00000, 7965.57, 119.979, 0, 0, 0, 0, 0, 0
1, 1800.00000, 7965.58, 119.979, 0, 0, 0, 0, 0, 0
1, 2400.00000, 7965.52, 119.979, 0, 0, 0, 0, 0, 0
1, 3000.00000, 7965.58, 119.979, 0, 0, 0, 0, 0, 0
2, 0.00000, 7965.67, 119.98, 0, 0, 0, 0, 0, 0
2, 600.00000, 7965.57, 119.979, 0, 0, 0, 0, 0, 0
2, 1200.00000, 7965.49, 119.98, 0, 0, 0, 0, 0, 0
2, 1800.00000, 7965.45, 119.979, 0, 0, 0, 0, 0, 0
2, 2400.00000, 7965.65, 119.98, 0, 0, 0, 0, 0, 0
2, 3000.00000, 7965.6, 119.98, 0, 0, 0, 0, 0, 0
3, 0.00000, 7965.47, 119.98, 0, 0, 0, 0, 0, 0
3, 600.00000, 7965.66, 119.98, 0, 0, 0, 0, 0, 0
3, 1200.00000, 7965.73, 119.98, 0, 0, 0, 0, 0, 0
3, 1800.00000, 7965.7, 119.98, 0, 0, 0, 0, 0, 0
3, 2400.00000, 7965.64, 119.979, 0, 0, 0, 0, 0, 0
3, 3000.00000, 7965.6, 119.98, 0, 0, 0, 0, 0, 0
4, 0.00000, 7965.63, 119.98, 0, 0, 0, 0, 0, 0
4, 600.00000, 7965.67, 119.981, 0, 0, 0, 0, 0, 0
4, 1200.00000, 7965.7, 119.98, 0, 0, 0, 0, 0, 0
4, 1800.00000, 7965.7, 119.981, 0, 0, 0, 0, 0, 0
4, 2400.00000, 7965.66, 119.98, 0, 0, 0, 0, 0, 0
4, 3000.00000, 7965.67, 119.98, 0, 0, 0, 0, 0, 0
5, 0.00000, 7965.67, 119.98, 0, 0, 0, 0, 0, 0
5, 600.00000, 7965.54, 119.98, 0, 0, 0, 0, 0, 0
5, 1200.00000, 7965.69, 119.98, 0, 0, 0, 0, 0, 0
5, 1800.00000, 7965.83, 119.981, 0, 0, 0, 0, 0, 0
5, 2400.00000, 7965.69, 119.98, 0, 0, 0, 0, 0, 0
5, 3000.00000, 7965.79, 119.98, 0, 0, 0, 0, 0, 0
6, 0.00000, 7965.76, 119.979, 0, 0, 0, 0, 0, 0
6, 600.00000, 7965.69, 119.979, 0, 0, 0, 0, 0, 0
6, 1200.00000, 7965.71, 119.979, 0, 0, 0, 0, 0, 0
6, 1800.00000, 7965.66, 119.98, 0, 0, 0, 0, 0, 0
6, 2400.00000, 7965.68, 119.98, 0, 0, 0, 0, 0, 0
6, 3000.00000, 7965.73, 119.98, 0, 0, 0, 0, 0, 0
