hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 600.00000, 0, 0, 0, 0
0, 1200.00000, 0, 0, 0, 0
0, 1800.00000, 0, 0, 0, 0
0, 2400.00000, 0, 0, 0, 0
0, 3000.00000, 0, 0, 0, 0
1, 0.00000, 0, 0, 0, 0
1, 600.00000, 0, 0, 0, 0
1, 1200.00000, 0, 0, 0, 0
1, 1800.00000, 0, 0, 0, 0
1, 2400.00000, 0, 0, 0, 0
1, 3000.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
2, 600.00000, 0, 0, 0, 0
2, 1200.00000, 0, 0, 0, 0
2, 1800.00000, 0, 0, 0, 0
2, 2400.00000, 0, 0, 0, 0
2, 3000.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
3, 600.00000, 0, 0, 0, 0
3, 1200.00000, 0, 0, 0, 0
3, 1800.00000, 0, 0, 0, 0
3, 2400.00000, 0, 0, 0, 0
3, 3000.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
4, 600.00000, 0, 0, 0, 0
4, 1200.00000, 0, 0, 0, 0
4, 1800.00000, 0, 0, 0, 0
4, 2400.00000, 0, 0, 0, 0
4, 3000.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
5, 600.00000, 0, 0, 0, 0
5, 1200.00000, 0, 0, 0, 0
5, 1800.00000, 0, 0, 0, 0
5, 2400.00000, 0, 0, 0, 0
5, 3000.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
6, 600.00000, 0, 0, 0, 0
6, 1200.00000, 0, 0, 0, 0
6, 1800.00000, 0, 0, 0, 0
6, 2400.00000, 0, 0, 0, 0
6, 3000.00000, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0
7, 600.00000, 0, 0, 0, 0
7, 1200.00000, -8.75575E-008, -0.654989, 0, 0
7, 1800.00000, 21.4484, 1.71942, 0, 0
7, 2400.00000, 21.4562, 1.83172, 0, 0
7, 3000.00000, 21.5446, 1.83908, 0, 0
8, 0.00000, 21.5369, 1.70134, 0, 0
8, 600.00000, 21.6075, 1.82144, 0, 0
8, 1200.00000, 21.4857, 1.74818, 0, 0
8, 1800.00000, 21.586, 1.60284, 0, 0
8, 2400.00000, 21.4091, 1.54589, 0, 0
8, 3000.00000, 21.349, 1.54504, 0, 0
9, 0.00000, 21.3119, 1.60905, 0, 0
9, 600.00000, 21.3233, 1.65634, 0, 0
9, 1200.00000, 21.2868, 1.87234, 0, 0
9, 1800.00000, 21.3157, 1.78367, 0, 0
9, 2400.00000, 21.2662, 1.73536, 0, 0
9, 3000.00000, 21.235, 1.64643, 0, 0
10, 0.00000, 21.2189, 1.79835, 0, 0
10, 600.00000, 21.3843, 1.57332, 0, 0
10, 1200.00000, 21.3662, 1.77383, 0, 0
10, 1800.00000, 21.5913, 1.59728, 0, 0
10, 2400.00000, 21.6095, 1.62152, 0, 0
10, 3000.00000, 21.4521, 1.79837, 0, 0
11, 0.00000, 0, 0, 0, 0
11, 600.00000, 0, 0, 0, 0
11, 1200.00000, -2.43455E-007, -0.651121, 0, 0
11, 1800.00000, 21.3306, 1.70999, 0, 0
11, 2400.00000, 21.3461, 1.82232, 0, 0
11, 3000.00000, 21.4378, 1.82996, 0, 0
12, 0.00000, 21.436, 1.69338, 0, 0
12, 600.00000, 21.517, 1.81382, 0, 0
12, 1200.00000, 21.4111, 1.74211, 0, 0
12, 1800.00000, 21.5211, 1.59802, 0, 0
12, 2400.00000, 21.3485, 1.54151, 0, 0
12, 3000.00000, 21.2957, 1.54119, 0, 0
13, 0.00000, 21.2675, 1.6057, 0, 0
13, 600.00000, 21.2928, 1.65397, 0, 0
13, 1200.00000, 21.266, 1.87051, 0, 0
13, 1800.00000, 21.2993, 1.7823, 0, 0
13, 2400.00000, 21.2524, 1.73424, 0, 0
13, 3000.00000, 21.2319, 1.6462, 0, 0
14, 0.00000, 21.2265, 1.799, 0, 0
14, 600.00000, 21.3969, 1.57425, 0, 0
14, 1200.00000, 21.3873, 1.77558, 0, 0
14, 1800.00000, 21.6233, 1.59964, 0, 0
14, 2400.00000, 21.636, 1.6235, 0, 0
14, 3000.00000, 21.4715, 1.80001, 0, 0
15, 0.00000, 0, 0, 0, 0
15, 600.00000, 0, 0, 0, 0
15, 1200.00000, 0, 0, 0, 0
15, 1800.00000, 0, 0, 0, 0
15, 2400.00000, 0, 0, 0, 0
15, 3000.00000, 0, 0, 0, 0
16, 0.00000, 0, 0, 0, 0
16, 600.00000, 0, 0, 0, 0
16, 1200.00000, 0, 0, 0, 0
16, 1800.00000, 0, 0, 0, 0
16, 2400.00000, 0, 0, 0, 0
16, 3000.00000, 0, 0, 0, 0
17, 0.00000, 0, 0, 0, 0
17, 600.00000, 0, 0, 0, 0
17, 1200.00000, 0, 0, 0, 0
17, 1800.00000, 0, 0, 0, 0
17, 2400.00000, 0, 0, 0, 0
17, 3000.00000, 0, 0, 0, 0
18, 0.00000, 0, 0, 0, 0
18, 600.00000, 0, 0, 0, 0
18, 1200.00000, 0, 0, 0, 0
18, 1800.00000, 0, 0, 0, 0
18, 2400.00000, 0, 0, 0, 0
18, 3000.00000, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0
19, 600.00000, 0, 0, 0, 0
19, 1200.00000, 0, 0, 0, 0
19, 1800.00000, 0, 0, 0, 0
19, 2400.00000, 0, 0, 0, 0
19, 3000.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
20, 600.00000, 0, 0, 0, 0
20, 1200.00000, 0, 0, 0, 0
20, 1800.00000, 0, 0, 0, 0
20, 2400.00000, 0, 0, 0, 0
20, 3000.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
21, 600.00000, 0, 0, 0, 0
21, 1200.00000, 0, 0, 0, 0
21, 1800.00000, 0, 0, 0, 0
21, 2400.00000, 0, 0, 0, 0
21, 3000.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
22, 600.00000, 0, 0, 0, 0
22, 1200.00000, 0, 0, 0, 0
22, 1800.00000, 0, 0, 0, 0
22, 2400.00000, 0, 0, 0, 0
22, 3000.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
23, 600.00000, 0, 0, 0, 0
23, 1200.00000, 0, 0, 0, 0
23, 1800.00000, 0, 0, 0, 0
23, 2400.00000, 0, 0, 0, 0
23, 3000.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
