hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
9, 0.00000, 0.128716, 0.929511, 0.128762, 0.929855, 0.128851, 0.930425, 0, 0
9, 600.00000, 0.128625, 0.928862, 0.128746, 0.929737, 0.128822, 0.930214, 0, 0
9, 1200.00000, 0.128539, 0.928234, 0.128689, 0.929329, 0.128792, 0.929997, 0, 0
9, 1800.00000, 0.128523, 0.928123, 0.128667, 0.929169, 0.128785, 0.929939, 0, 0
9, 2400.00000, 0.128514, 0.928055, 0.128627, 0.928882, 0.128748, 0.929674, 0, 0
9, 3000.00000, 0.128487, 0.92786, 0.128578, 0.92853, 0.128699, 0.929321, 0, 0
10, 0.00000, 0.128452, 0.927611, 0.128538, 0.928243, 0.128677, 0.929155, 0, 0
10, 600.00000, 0.128427, 0.927431, 0.128535, 0.928224, 0.128681, 0.929183, 0, 0
10, 1200.00000, 0.128419, 0.92737, 0.128511, 0.928054, 0.128637, 0.928865, 0, 0
10, 1800.00000, 0.128441, 0.927528, 0.128523, 0.928134, 0.128664, 0.929061, 0, 0
10, 2400.00000, 0.128423, 0.9274, 0.128485, 0.927859, 0.12865, 0.928959, 0, 0
10, 3000.00000, 0.128414, 0.927335, 0.128492, 0.927906, 0.128674, 0.929133, 0, 0
11, 0.00000, 0.12839, 0.927163, 0.128456, 0.927649, 0.128636, 0.928858, 0, 0
11, 600.00000, 0.128335, 0.926777, 0.128443, 0.927556, 0.128621, 0.928746, 0, 0
11, 1200.00000, 0.128304, 0.926551, 0.128415, 0.927351, 0.128604, 0.928618, 0, 0
11, 1800.00000, 0.128342, 0.926828, 0.128442, 0.927545, 0.128642, 0.928896, 0, 0
11, 2400.00000, 0.128316, 0.926637, 0.128436, 0.9275, 0.128622, 0.928751, 0, 0
11, 3000.00000, 0.128332, 0.926753, 0.128421, 0.927396, 0.128605, 0.928629, 0, 0
12, 0.00000, 0.128338, 0.926798, 0.128441, 0.927538, 0.128586, 0.928492, 0, 0
12, 600.00000, 26.9381, 1.4576, 26.9465, 1.48322, 26.9649, 1.46154, 0, 0
12, 1200.00000, 26.9671, 4.41708, 26.9709, 4.44281, 26.9919, 4.42499, 0, 0
12, 1800.00000, 27.086, 4.57845, 27.0915, 4.60743, 27.1144, 4.58641, 0, 0
12, 2400.00000, 27.0893, 4.58831, 27.0898, 4.61509, 27.1131, 4.59955, 0, 0
12, 3000.00000, 27.1889, 4.42652, 27.1955, 4.45712, 27.2193, 4.43429, 0, 0
13, 0.00000, 27.0443, 4.56275, 27.0524, 4.59551, 27.0772, 4.57047, 0, 0
13, 600.00000, 27.1751, 4.48468, 27.1846, 4.52038, 27.2113, 4.4926, 0, 0
13, 1200.00000, 26.9618, 4.28074, 26.971, 4.3158, 26.9975, 4.28835, 0, 0
13, 1800.00000, 26.9009, 4.20431, 26.9094, 4.23673, 26.9339, 4.21116, 0, 0
13, 2400.00000, 26.8611, 4.20086, 26.8701, 4.2317, 26.8929, 4.20665, 0, 0
13, 3000.00000, 26.8917, 4.28379, 26.8979, 4.31544, 26.9228, 4.29244, 0, 0
14, 0.00000, 26.8627, 4.34505, 26.8723, 4.37139, 26.8906, 4.34782, 0, 0
14, 600.00000, 0.128475, 0.927788, 0.128638, 0.928953, 0.128742, 0.929626, 0, 0
14, 1200.00000, 0.128491, 0.927902, 0.128675, 0.929219, 0.12879, 0.929974, 0, 0
14, 1800.00000, 0.128503, 0.927987, 0.128653, 0.929062, 0.128801, 0.930056, 0, 0
14, 2400.00000, 0.128492, 0.927905, 0.128634, 0.92892, 0.128784, 0.92993, 0, 0
14, 3000.00000, 0.128455, 0.927638, 0.128623, 0.928846, 0.128778, 0.929891, 0, 0
15, 0.00000, 0.128445, 0.927569, 0.128617, 0.928798, 0.128774, 0.929863, 0, 0
15, 600.00000, 0.128447, 0.927585, 0.128633, 0.928917, 0.128787, 0.929957, 0, 0
15, 1200.00000, 0.128439, 0.927519, 0.128566, 0.928434, 0.12874, 0.929611, 0, 0
15, 1800.00000, 0.128448, 0.927588, 0.128578, 0.928524, 0.128771, 0.92984, 0, 0
15, 2400.00000, 0.128498, 0.927942, 0.128633, 0.928919, 0.128781, 0.929918, 0, 0
15, 3000.00000, 0.128514, 0.928059, 0.128702, 0.929422, 0.128803, 0.930078, 0, 0
16, 0.00000, 0.12856, 0.928391, 0.128726, 0.929592, 0.12883, 0.930268, 0, 0
16, 600.00000, 0.128605, 0.928716, 0.128794, 0.930076, 0.128893, 0.930726, 0, 0
16, 1200.00000, 0.128611, 0.92876, 0.128783, 0.929997, 0.128883, 0.930658, 0, 0
16, 1800.00000, 0.128676, 0.929228, 0.128809, 0.930185, 0.12893, 0.930995, 0, 0
