hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 7964.54, -0.0180204, 0, 0, 0, 0, 0, 0
0, 1200.00000, 7964.57, -0.0179937, 0, 0, 0, 0, 0, 0
0, 1800.00000, 7964.63, -0.0174784, 0, 0, 0, 0, 0, 0
0, 2400.00000, 7964.61, -0.0178717, 0, 0, 0, 0, 0, 0
0, 3000.00000, 7964.58, -0.0169797, 0, 0, 0, 0, 0, 0
1, 0.00000, 7964.5, -0.0172231, 0, 0, 0, 0, 0, 0
1, 600.00000, 7964.3, -0.0174129, 0, 0, 0, 0, 0, 0
1, 1200.00000, 7964.42, -0.0176391, 0, 0, 0, 0, 0, 0
1, 1800.00000, 7964.56, -0.0174611, 0, 0, 0, 0, 0, 0
1, 2400.00000, 7964.61, -0.0172927, 0, 0, 0, 0, 0, 0
1, 3000.00000, 7964.68, -0.0179036, 0, 0, 0, 0, 0, 0
2, 0.00000, 7964.62, -0.0171141, 0, 0, 0, 0, 0, 0
2, 600.00000, 7964.62, -0.0179523, 0, 0, 0, 0, 0, 0
2, 1200.00000, 7964.56, -0.018293, 0, 0, 0, 0, 0, 0
2, 1800.00000, 7964.47, -0.017762, 0, 0, 0, 0, 0, 0
2, 2400.00000, 7964.48, -0.0168369, 0, 0, 0, 0, 0, 0
2, 3000.00000, 7964.64, -0.0170949, 0, 0, 0, 0, 0, 0
3, 0.00000, 7964.66, -0.0173387, 0, 0, 0, 0, 0, 0
3, 600.00000, 7964.67, -0.0171293, 0, 0, 0, 0, 0, 0
3, 1200.00000, 7964.72, -0.0176927, 0, 0, 0, 0, 0, 0
3, 1800.00000, 7964.68, -0.0183255, 0, 0, 0, 0, 0, 0
3, 2400.00000, 7964.56, -0.0180694, 0, 0, 0, 0, 0, 0
3, 3000.00000, 7964.57, -0.0178916, 0, 0, 0, 0, 0, 0
4, 0.00000, 7964.71, -0.0179016, 0, 0, 0, 0, 0, 0
4, 600.00000, 7964.84, -0.0172582, 0, 0, 0, 0, 0, 0
4, 1200.00000, 7964.74, -0.0177857, 0, 0, 0, 0, 0, 0
4, 1800.00000, 7964.86, -0.0176669, 0, 0, 0, 0, 0, 0
4, 2400.00000, 7964.79, -0.0178786, 0, 0, 0, 0, 0, 0
4, 3000.00000, 7964.71, -0.0182085, 0, 0, 0, 0, 0, 0
5, 0.00000, 7964.77, -0.0176897, 0, 0, 0, 0, 0, 0
5, 600.00000, 7964.77, -0.0185349, 0, 0, 0, 0, 0, 0
5, 1200.00000, 7964.68, -0.0174968, 0, 0, 0, 0, 0, 0
5, 1800.00000, 7964.94, -0.0167565, 0, 0, 0, 0, 0, 0
5, 2400.00000, 7964.94, -0.0172845, 0, 0, 0, 0, 0, 0
