hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 600.00000, 81.7139, 41.6998, 54.9224, 39.8745, 69.9311, 17.5827
0, 1200.00000, 83.2107, 39.8888, 56.382, 39.5674, 70.1069, 16.4918
0, 1800.00000, 80.3545, 35.3644, 58.0121, 40.1896, 65.0358, 18.4254
0, 2400.00000, 78.1284, 40.9641, 57.2814, 37.8582, 70.4261, 21.3536
0, 3000.00000, 78.5793, 41.2188, 53.7592, 37.9538, 69.0285, 18.0881
1, 0.00000, 87.872, 46.2241, 63.9737, 43.4022, 78.4004, 24.1123
1, 600.00000, 86.9904, 44.3978, 59.7488, 46.0697, 71.9554, 21.6375
1, 1200.00000, 81.405, 41.0527, 54.8418, 40.1654, 68.9247, 17.6025
1, 1800.00000, 80.7555, 44.5983, 54.1684, 37.6193, 73.5388, 18.08
1, 2400.00000, 80.1751, 37.9881, 59.0185, 41.2217, 66.8279, 21.2792
1, 3000.00000, 81.345, 41.3217, 56.4325, 39.2846, 70.6848, 18.7256
2, 0.00000, 82.5365, 41.8412, 53.5403, 40.3111, 69.3967, 15.9624
2, 600.00000, 81.3284, 39.3618, 54.9409, 39.4988, 68.0483, 16.5763
2, 1200.00000, 84.4795, 41.6305, 57.3907, 46.0666, 67.1255, 20.389
2, 1800.00000, 87.1497, 46.8232, 60.0781, 45.9841, 74.374, 22.9574
2, 2400.00000, 81.4121, 41.0991, 47.7368, 41.0516, 64.6489, 11.9103
2, 3000.00000, 82.04, 39.5627, 57.4321, 40.0925, 69.3097, 18.5148
3, 0.00000, 80.1957, 40.2059, 51.4175, 42.6531, 63.7185, 16.5048
3, 600.00000, 80.6938, 39.8682, 49.9101, 39.9997, 65.2201, 13.273
3, 1200.00000, 84.6047, 40.2064, 58.0678, 42.017, 69.8006, 18.1299
3, 1800.00000, 87.1774, 41.5289, 56.2273, 44.5649, 69.106, 16.243
3, 2400.00000, 84.3294, 43.7772, 59.1008, 43.4105, 72.0667, 21.7441
3, 3000.00000, 89.0284, 42.8653, 59.6597, 47.5807, 70.2926, 19.7889
4, 0.00000, 81.0274, 36.139, 54.105, 41.5434, 62.9165, 15.5262
4, 600.00000, 77.9474, 36.8638, 53.5734, 37.2348, 65.47, 15.94
4, 1200.00000, 76.6674, 37.504, 51.0228, 36.585, 64.6721, 14.8341
4, 1800.00000, 80.8296, 35.1566, 56.9687, 40.5766, 64.2361, 17.2034
4, 2400.00000, 81.9863, 37.226, 55.0209, 38.8376, 67.1396, 14.679
4, 3000.00000, 79.2242, 36.632, 50.7547, 39.5829, 62.4659, 13.4518
5, 0.00000, 80.0071, 34.8687, 51.9206, 40.0399, 61.5171, 13.1297
5, 600.00000, 87.3614, 38.1279, 62.7146, 45.1068, 69.0255, 20.2729
5, 1200.00000, 74.1903, 35.383, 49.111, 35.024, 61.9916, 13.4836
5, 1800.00000, 78.6952, 37.3104, 53.1888, 36.0912, 67.0289, 14.6098
5, 2400.00000, 76.4294, 34.492, 55.8157, 40.1708, 61.2338, 19.4784
5, 3000.00000, 81.6329, 38.6926, 52.6257, 39.1332, 66.7795, 13.7911
6, 0.00000, 80.384, 40.0924, 51.638, 37.6086, 68.1946, 13.9542
6, 600.00000, 84.7602, 37.978, 60.8009, 36.2521, 74.3079, 16.3625
6, 1200.00000, 80.2691, 42.0738, 55.9273, 40.298, 69.6694, 20.103
6, 1800.00000, 81.0445, 48.2241, 55.8537, 37.0118, 78.1941, 20.7988
6, 2400.00000, 74.3981, 43.0558, 50.9585, 30.9851, 73.1644, 16.7169
6, 3000.00000, 82.156, 42.7215, 59.1206, 33.8631, 78.343, 18.3389
7, 0.00000, 78.9781, 42.3555, 54.6375, 37.2097, 71.2965, 18.7004
7, 600.00000, 86.1747, 44.2564, 58.4514, 35.4208, 80.0013, 15.8267
7, 1200.00000, 93.013, 46.8631, 68.449, 37.8347, 88.5895, 21.0749
7, 1800.00000, 145.736, 50.1115, 115.851, 45.3467, 134.984, 21.8256
7, 2400.00000, 148.798, 54.6912, 123.696, 48.6773, 141.527, 29.9218
7, 3000.00000, 169.974, 61.2813, 142.791, 49.7059, 166.488, 31.9173
8, 0.00000, 178.108, 64.1197, 152.412, 54.2427, 173.903, 36.8902
8, 600.00000, 189.843, 72.9213, 159.524, 53.2387, 191.836, 36.7713
8, 1200.00000, 192.524, 71.0479, 165.482, 59.2836, 189.313, 41.6969
8, 1800.00000, 204.878, 67.3201, 186.504, 61.0036, 201.294, 48.2107
8, 2400.00000, 223.317, 74.6884, 211.82, 67.8029, 223.667, 61.2523
8, 3000.00000, 233.49, 69.0277, 219.144, 72.4883, 223.464, 58.2988
9, 0.00000, 244.035, 69.1746, 233.757, 74.445, 234.484, 62.8895
9, 600.00000, 263.97, 81.6588, 234.237, 77.7675, 252.669, 53.9198
9, 1200.00000, 284.369, 82.725, 244.095, 86.2033, 261.449, 49.5258
9, 1800.00000, 288.114, 82.231, 248.266, 86.7432, 264.529, 49.9337
9, 2400.00000, 292.632, 80.344, 260.84, 86.069, 272.016, 55.6431
9, 3000.00000, 296.843, 81.3293, 270.846, 86.7817, 279.353, 61.5187
10, 0.00000, 308.163, 77.9937, 283.529, 89.5748, 286.064, 62.42
10, 600.00000, 313.852, 77.5999, 281.19, 92.1832, 285.148, 56.5662
10, 1200.00000, 316.206, 81.3636, 291.504, 90.3728, 296.296, 64.4392
10, 1800.00000, 310.154, 74.6058, 286.8, 87.8145, 287.282, 60.9508
10, 2400.00000, 321.087, 72.9108, 300.326, 92.185, 294.273, 64.5449
10, 3000.00000, 327.34, 72.3923, 295.268, 96.118, 291.016, 56.4654
11, 0.00000, 337.946, 76.2348, 308.454, 97.8425, 304.746, 61.4999
11, 600.00000, 337.475, 78.9829, 294.884, 99.0377, 299.06, 52.117
11, 1200.00000, 346.418, 78.5354, 305.855, 106.676, 302.024, 57.4406
11, 1800.00000, 334.242, 74.951, 289.558, 105.262, 285.887, 51.3982
11, 2400.00000, 344.115, 83.4387, 291.961, 107.491, 297.453, 50.2925
11, 3000.00000, 336.455, 79.2726, 295.789, 103.999, 294.945, 56.4118
12, 0.00000, 330.768, 84.3441, 291.54, 98.6736, 298.965, 57.5238
