hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 7966.18, 119.979, 0, 0, 0, 0, 0, 0
0, 1200.00000, 7966.16, 119.979, 0, 0, 0, 0, 0, 0
0, 1800.00000, 7966.18, 119.98, 0, 0, 0, 0, 0, 0
0, 2400.00000, 7966.11, 119.979, 0, 0, 0, 0, 0, 0
0, 3000.00000, 7966.15, 119.98, 0, 0, 0, 0, 0, 0
1, 0.00000, 7966.15, 119.979, 0, 0, 0, 0, 0, 0
1, 600.00000, 7965.98, 119.979, 0, 0, 0, 0, 0, 0
1, 1200.00000, 7966.26, 119.98, 0, 0, 0, 0, 0, 0
1, 1800.00000, 7966.26, 119.979, 0, 0, 0, 0, 0, 0
1, 2400.00000, 7966.09, 119.979, 0, 0, 0, 0, 0, 0
1, 3000.00000, 7966.21, 119.979, 0, 0, 0, 0, 0, 0
2, 0.00000, 7966.34, 119.98, 0, 0, 0, 0, 0, 0
2, 600.00000, 7966.22, 119.979, 0, 0, 0, 0, 0, 0
2, 1200.00000, 7966.21, 119.98, 0, 0, 0, 0, 0, 0
2, 1800.00000, 7966.12, 119.98, 0, 0, 0, 0, 0, 0
2, 2400.00000, 7966.37, 119.981, 0, 0, 0, 0, 0, 0
2, 3000.00000, 7966.4, 119.98, 0, 0, 0, 0, 0, 0
3, 0.00000, 7966.16, 119.98, 0, 0, 0, 0, 0, 0
3, 600.00000, 7966.3, 119.981, 0, 0, 0, 0, 0, 0
3, 1200.00000, 7966.42, 119.981, 0, 0, 0, 0, 0, 0
3, 1800.00000, 7966.32, 119.98, 0, 0, 0, 0, 0, 0
3, 2400.00000, 7966.29, 119.979, 0, 0, 0, 0, 0, 0
3, 3000.00000, 7966.25, 119.98, 0, 0, 0, 0, 0, 0
4, 0.00000, 7966.36, 119.981, 0, 0, 0, 0, 0, 0
4, 600.00000, 7966.42, 119.981, 0, 0, 0, 0, 0, 0
4, 1200.00000, 7966.29, 119.98, 0, 0, 0, 0, 0, 0
4, 1800.00000, 7966.44, 119.981, 0, 0, 0, 0, 0, 0
4, 2400.00000, 7966.43, 119.981, 0, 0, 0, 0, 0, 0
4, 3000.00000, 7966.35, 119.98, 0, 0, 0, 0, 0, 0
5, 0.00000, 7966.39, 119.98, 0, 0, 0, 0, 0, 0
5, 600.00000, 7966.28, 119.98, 0, 0, 0, 0, 0, 0
5, 1200.00000, 7966.38, 119.981, 0, 0, 0, 0, 0, 0
5, 1800.00000, 7966.47, 119.981, 0, 0, 0, 0, 0, 0
5, 2400.00000, 7966.31, 119.981, 0, 0, 0, 0, 0, 0
5, 3000.00000, 7966.45, 119.981, 0, 0, 0, 0, 0, 0
6, 0.00000, 7966.48, 119.981, 0, 0, 0, 0, 0, 0
6, 600.00000, 7966.29, 119.979, 0, 0, 0, 0, 0, 0
6, 1200.00000, 7966.37, 119.98, 0, 0, 0, 0, 0, 0
6, 1800.00000, 7966.37, 119.98, 0, 0, 0, 0, 0, 0
6, 2400.00000, 7966.34, 119.98, 0, 0, 0, 0, 0, 0
6, 3000.00000, 7966.45, 119.98, 0, 0, 0, 0, 0, 0
7, 0.00000, 7966.39, 119.98, 0, 0, 0, 0, 0, 0
7, 600.00000, 7966.48, 119.979, 0, 0, 0, 0, 0, 0
7, 1200.00000, 7966.28, 119.976, 0, 0, 0, 0, 0, 0
7, 1800.00000, 7965.15, 119.957, 0, 0, 0, 0, 0, 0
7, 2400.00000, 7964.8, 119.952, 0, 0, 0, 0, 0, 0
7, 3000.00000, 7964.36, 119.946, 0, 0, 0, 0, 0, 0
8, 0.00000, 7963.58, 119.94, 0, 0, 0, 0, 0, 0
8, 600.00000, 7963.5, 119.936, 0, 0, 0, 0, 0, 0
8, 1200.00000, 7963.29, 119.93, 0, 0, 0, 0, 0, 0
8, 1800.00000, 7963.04, 119.926, 0, 0, 0, 0, 0, 0
8, 2400.00000, 7962.27, 119.92, 0, 0, 0, 0, 0, 0
8, 3000.00000, 7961.55, 119.912, 0, 0, 0, 0, 0, 0
9, 0.00000, 7961.35, 119.907, 0, 0, 0, 0, 0, 0
9, 600.00000, 7961.01, 119.897, 0, 0, 0, 0, 0, 0
9, 1200.00000, 7960.84, 119.889, 0, 0, 0, 0, 0, 0
9, 1800.00000, 7960.61, 119.882, 0, 0, 0, 0, 0, 0
9, 2400.00000, 7960.43, 119.879, 0, 0, 0, 0, 0, 0
9, 3000.00000, 7959.55, 119.873, 0, 0, 0, 0, 0, 0
10, 0.00000, 7959.59, 119.869, 0, 0, 0, 0, 0, 0
10, 600.00000, 7959.21, 119.865, 0, 0, 0, 0, 0, 0
10, 1200.00000, 7959.15, 119.864, 0, 0, 0, 0, 0, 0
10, 1800.00000, 7958.97, 119.862, 0, 0, 0, 0, 0, 0
10, 2400.00000, 7959.2, 119.864, 0, 0, 0, 0, 0, 0
10, 3000.00000, 7959.39, 119.865, 0, 0, 0, 0, 0, 0
11, 0.00000, 7960.79, 119.884, 0, 0, 0, 0, 0, 0
11, 600.00000, 7960.77, 119.884, 0, 0, 0, 0, 0, 0
11, 1200.00000, 7960.16, 119.879, 0, 0, 0.0781384, -150.121, 0.0781384, 29.8792
11, 1800.00000, 7958.76, 119.86, 0, 0, 2.69825, 115.629, 2.69825, -64.3712
11, 2400.00000, 7959.28, 119.863, 0, 0, 2.70013, 115.343, 2.70013, -64.6572
11, 3000.00000, 7958.86, 119.86, 0, 0, 2.71554, 115.367, 2.71554, -64.6335
12, 0.00000, 7958.57, 119.859, 0, 0, 2.70971, 115.729, 2.70971, -64.2712
12, 600.00000, 7958.4, 119.862, 0, 0, 2.72668, 115.429, 2.72668, -64.5709
12, 1200.00000, 7958.63, 119.864, 0, 0, 2.71044, 115.549, 2.71044, -64.4513
12, 1800.00000, 7959.28, 119.868, 0, 0, 2.71079, 115.469, 2.71079, -64.5312
12, 2400.00000, 7958.26, 119.863, 0, 0, 2.67329, 115.048, 2.67329, -64.9523
12, 3000.00000, 7958.14, 119.861, 0, 0, 2.68451, 115.505, 2.68451, -64.4946
13, 0.00000, 7958.45, 119.865, 0, 0, 2.68431, 115.153, 2.68431, -64.8474
13, 600.00000, 7959.48, 119.868, 0, 0, 2.69265, 115.543, 2.69265, -64.4572
13, 1200.00000, 7960, 119.868, 0, 0, 2.70564, 115.272, 2.70564, -64.728
13, 1800.00000, 7959.38, 119.866, 0, 0, 2.70402, 115.435, 2.70402, -64.5651
13, 2400.00000, 7959.45, 119.867, 0, 0, 2.6988, 115.51, 2.6988, -64.4903
13, 3000.00000, 7959.49, 119.868, 0, 0, 2.68529, 115.343, 2.68529, -64.6573
14, 0.00000, 7959.99, 119.872, 0, 0, 2.69516, 115.362, 2.69516, -64.6378
14, 600.00000, 7959.5, 119.87, 0, 0, 2.69279, 114.982, 2.69279, -65.0175
14, 1200.00000, 7960.18, 119.877, 0, 0, 2.71421, 115.501, 2.71421, -64.4986
14, 1800.00000, 7960.22, 119.881, 0, 0, 2.72621, 115.566, 2.72621, -64.4337
14, 2400.00000, 7959.94, 119.88, 0, 0, 2.71095, 114.941, 2.71095, -65.0592
14, 3000.00000, 7960, 119.879, 0, 0, 2.72616, 115.482, 2.72616, -64.5183
15, 0.00000, 7961.4, 119.898, 0, 0, 0, 0, 0, 0
15, 600.00000, 7961.3, 119.896, 0, 0, 0, 0, 0, 0
15, 1200.00000, 7961.7, 119.899, 0, 0, 0.0782112, -150.101, 0.0782112, 29.8993
15, 1800.00000, 7960.08, 119.885, 0, 0, 2.70039, 115.654, 2.70039, -64.346
15, 2400.00000, 7960.23, 119.885, 0, 0, 2.70167, 115.364, 2.70167, -64.6356
15, 3000.00000, 7960.25, 119.882, 0, 0, 2.71781, 115.389, 2.71781, -64.6114
16, 0.00000, 7960.26, 119.883, 0, 0, 2.71248, 115.753, 2.71248, -64.2474
16, 600.00000, 7960.59, 119.886, 0, 0, 2.7303, 115.454, 2.7303, -64.5464
16, 1200.00000, 7960.73, 119.89, 0, 0, 2.71389, 115.575, 2.71389, -64.4248
16, 1800.00000, 7961.4, 119.9, 0, 0, 2.71428, 115.501, 2.71428, -64.4988
16, 2400.00000, 7961.63, 119.905, 0, 0, 2.67873, 115.09, 2.67873, -64.9096
16, 3000.00000, 7961.31, 119.908, 0, 0, 2.68967, 115.552, 2.68967, -64.4475
17, 0.00000, 7961.96, 119.912, 0, 0, 2.69001, 115.2, 2.69001, -64.7997
17, 600.00000, 7962.19, 119.913, 0, 0, 2.69707, 115.588, 2.69707, -64.4118
17, 1200.00000, 7962.59, 119.921, 0, 0, 2.70987, 115.324, 2.70987, -64.6756
