Pa,Pb,Pc
0.159132488319429,0.248813075142812,0.226283035752023
0.191372899310549,0.284066426426662,0.25934507933212
0.196295514119671,0.276995788923798,0.262763102854504
0.145162640997378,0.228516110513696,0.218901262232168
0.135258011461405,0.238388443506396,0.223588714788605
0.135449003766168,0.236326851857103,0.225593877580432
0.140727829277841,0.234390084685541,0.226024034614406
0.140744290156794,0.251821200734874,0.221492898801796
0.138643317046929,0.243127265207941,0.225142161123072
0.14240708177131,0.231248068068501,0.217938699532731
0.148386285697854,0.231474035966702,0.21411822935398
0.143706706505741,0.234520494635186,0.219009504012662
0.131642153995736,0.231609077977502,0.217163954046406
0.13786429650197,0.23935356991603,0.219420707427286
0.138245056964782,0.234374553882151,0.220181187811569
0.145096256308632,0.245709961671892,0.213049901640128
0.142583580953166,0.248359057392636,0.213499655005041
0.145287323332811,0.244309114758086,0.21851483912724
0.137260644470186,0.245336323732376,0.220618581632367
0.136962875846314,0.234585595735069,0.216177807791741
0.155813936293888,0.245659992833673,0.226391266906636
0.129925915680812,0.233959661355552,0.224156089325442
0.140083895382987,0.239944986809822,0.218497072612579
0.145513608874794,0.240696075123007,0.220710274408791
0.129885079994307,0.228540947336366,0.21874801325271
0.134637175445536,0.236871446349519,0.216998906302349
0.125958676014244,0.229301846100314,0.225848935812941
0.138839926386991,0.229262899260678,0.230698034470815
0.134612071203345,0.233980153972659,0.221007568710457
0.138731465138662,0.234829361037095,0.217931517048664
0.145958409956931,0.229006187368994,0.219939604678912
0.143723657211977,0.225498154233168,0.219678168312752
0.14545250101171,0.237657600810711,0.221921055782853
0.135153580821059,0.227458384486922,0.221862073389888
0.142145730028436,0.214638502190644,0.203948359563081
0.13480823508796,0.175093975957263,0.186300132464993
0.170047277357984,0.206416752056877,0.193458205326021
0.24082772330089,0.305780477333265,0.244897401500123
0.352239863868704,0.402849187164131,0.260034373809345
0.344273242531306,0.443478838801418,0.293370055282082
0.413263075193318,0.519414338096627,0.383873125219013
0.430183432318975,0.50411367434731,0.36578771893687
0.503633398689143,0.582125521001223,0.39934151835865
0.704059810545433,1.0103713060688,0.842835216609774
0.819788952256848,1.21118016836491,0.932616776515277
1.02931585036731,1.32183648428167,1.00763047005372
1.35018985633122,1.66185491628489,1.45109250947907
1.6410399593245,1.89335134189037,1.82128334374746
1.7925108403693,1.98201998199156,1.92580031887065
