hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 600.00000, 54.8737, 29.8683, 50.0454, 31.2721, 51.2557, 26.3847
0, 1200.00000, 54.4642, 30.0103, 49.618, 31.3382, 50.9029, 26.4738
0, 1800.00000, 53.0641, 30.234, 45.939, 29.0708, 50.5199, 23.4778
0, 2400.00000, 54.3434, 27.8317, 50.2078, 29.4193, 50.9117, 25.0389
0, 3000.00000, 52.2598, 30.2036, 48.5027, 29.1115, 51.3385, 26.3989
1, 0.00000, 51.8843, 31.2756, 46.5174, 29.2108, 51.0009, 25.5904
1, 600.00000, 55.1099, 33.6894, 48.8728, 31.711, 53.7173, 27.2934
1, 1200.00000, 57.6398, 32.9723, 50.2668, 32.9457, 53.9891, 26.57
1, 1800.00000, 54.4177, 29.7477, 49.735, 30.0924, 51.7902, 25.8596
1, 2400.00000, 53.165, 30.7639, 47.6857, 28.1745, 52.6789, 24.7189
1, 3000.00000, 53.2834, 28.1877, 49.2387, 29.4666, 50.1649, 25.3201
2, 0.00000, 52.45, 30.4805, 46.2702, 28.8885, 50.7511, 24.3288
2, 600.00000, 53.6154, 29.4446, 47.7288, 29.682, 50.4783, 24.4619
2, 1200.00000, 55.4867, 29.5037, 50.4694, 31.3573, 51.3843, 26.0829
2, 1800.00000, 53.7778, 30.9728, 47.0902, 31.767, 49.7579, 25.5749
2, 2400.00000, 54.1554, 33.3753, 47.8929, 31.2791, 52.8528, 26.9005
2, 3000.00000, 53.5271, 30.7729, 43.9552, 29.4949, 49.8595, 21.841
3, 0.00000, 51.7348, 28.4708, 49.1391, 28.6174, 50.3211, 26.2922
3, 600.00000, 52.7326, 29.1651, 48.3669, 29.5524, 50.2262, 25.5747
3, 1200.00000, 53.2685, 29.2444, 46.2985, 29.0491, 49.9638, 23.1082
3, 1800.00000, 53.4732, 27.8282, 49.4407, 28.4442, 50.9352, 24.6413
3, 2400.00000, 53.4138, 30.616, 45.4411, 29.7576, 50.1831, 23.2792
3, 3000.00000, 55.0602, 30.5497, 49.5586, 30.6645, 52.2212, 25.8402
4, 0.00000, 55.2313, 28.8995, 51.3748, 31.5457, 51.0223, 26.8809
4, 600.00000, 50.6069, 27.0464, 46.7785, 28.8419, 47.1483, 24.6259
4, 1200.00000, 53.9753, 27.7046, 49.3678, 29.2599, 50.336, 24.4884
4, 1800.00000, 51.802, 27.5598, 46.8757, 27.996, 48.9714, 23.51
4, 2400.00000, 51.821, 27.3189, 48.1662, 29.1456, 48.4227, 25.0651
4, 3000.00000, 54.4128, 27.2973, 49.0877, 29.6256, 49.7458, 23.8472
5, 0.00000, 53.6655, 28.1173, 46.6709, 29.6584, 48.8451, 22.8274
5, 600.00000, 52.9012, 26.6877, 47.6916, 28.5498, 48.6941, 23.105
5, 1200.00000, 55.8667, 29.4859, 50.7846, 31.2569, 51.8029, 25.9674
5, 1800.00000, 49.1853, 26.6961, 43.8994, 26.2372, 46.9502, 21.8854
5, 2400.00000, 50.7147, 25.7087, 47.7473, 26.5704, 48.4941, 23.5664
5, 3000.00000, 51.6723, 26.6031, 48.095, 27.9384, 48.7385, 24.1697
6, 0.00000, 51.9493, 26.6492, 46.1049, 26.4957, 49.1718, 21.5075
6, 600.00000, 53.2236, 26.9527, 47.4057, 26.8213, 50.4399, 21.8443
6, 1200.00000, 53.1731, 28.9666, 47.4813, 27.7533, 51.3902, 23.4265
6, 1800.00000, 52.3308, 31.2966, 44.7269, 28.3568, 51.0877, 23.237
6, 2400.00000, 51.3224, 32.0923, 44.3508, 27.0566, 52.2099, 23.5314
6, 3000.00000, 53.6419, 32.4678, 46.821, 28.5699, 53.6193, 24.6067
7, 0.00000, 58.5991, 32.9586, 52.0429, 31.4544, 56.6362, 26.5239
7, 600.00000, 56.7485, 34.8833, 47.3698, 30.4401, 55.9219, 24.5358
7, 1200.00000, 71.3229, 34.1092, 31.4403, 32.0496, 65.7594, 20.3962
7, 1800.00000, 144.083, 42.8283, 127.433, 42.9491, 135.03, 26.6529
7, 2400.00000, 156.714, 42.7389, 146.596, 47.303, 144.904, 30.7134
7, 3000.00000, 168.247, 45.3337, 156.487, 48.197, 157.187, 30.9852
8, 0.00000, 178.364, 49.114, 160.404, 48.1575, 170.047, 32.0252
8, 600.00000, 188.614, 55.8742, 170.88, 53.746, 179.403, 34.5843
8, 1200.00000, 211.136, 64.1381, 182.266, 57.1515, 201.761, 32.9353
8, 1800.00000, 228.259, 66.5519, 193.742, 63.2977, 215.436, 37.9553
8, 2400.00000, 241.577, 64.3186, 208.777, 66.0906, 225.695, 41.7213
8, 3000.00000, 268.795, 72.9089, 239.431, 77.5778, 252.527, 54.1207
9, 0.00000, 287.144, 72.9872, 258.362, 81.6696, 266.472, 54.7087
9, 600.00000, 303.347, 78.4301, 274.468, 84.8536, 283.872, 56.8069
9, 1200.00000, 317.676, 82.6912, 290.96, 85.7992, 298.35, 53.6633
9, 1800.00000, 335.287, 83.7083, 299.665, 88.6875, 311.561, 51.018
9, 2400.00000, 350.431, 80.5201, 316.745, 87.9752, 326.397, 52.2873
9, 3000.00000, 368.157, 85.3122, 330.906, 92.8369, 343.666, 57.3339
10, 0.00000, 382.882, 91.1473, 349.908, 95.6415, 360.488, 59.8
10, 600.00000, 397.132, 91.4108, 352.583, 97.7048, 371.384, 59.9251
10, 1200.00000, 399.517, 91.3597, 365.909, 99.2347, 374.562, 62.3019
10, 1800.00000, 409.598, 96.4273, 371.268, 100.021, 389.334, 68.0714
10, 2400.00000, 413.071, 91.6104, 367.372, 102.213, 382.17, 60.2358
10, 3000.00000, 401.918, 90.0587, 368.213, 102.527, 372.66, 62.6332
11, 0.00000, 340.803, 79.9999, 301.798, 96.1719, 307.5, 54.3137
11, 600.00000, 344.828, 79.0622, 302.191, 97.5702, 307.696, 51.3881
11, 1200.00000, 336.319, 85.4553, 273.002, 88.9053, 310.256, 46.7976
11, 1800.00000, 384.686, 88.5353, 344.513, 96.6289, 357.422, 56.5743
11, 2400.00000, 387.504, 86.6321, 352.321, 99.4839, 357.165, 58.914
11, 3000.00000, 398.063, 93.5188, 364.11, 106.727, 368.086, 67.0193
12, 0.00000, 410.525, 99.8259, 382.59, 114.214, 384.212, 82.1381
12, 600.00000, 402.082, 101.129, 379.872, 109.839, 382.166, 83.0484
12, 1200.00000, 390.714, 101.16, 366.326, 110.494, 369.939, 82.9646
12, 1800.00000, 387.211, 97.9134, 354.29, 110.244, 361.324, 77.5684
12, 2400.00000, 375.115, 96.3004, 337.127, 108.8, 346.818, 72.9653
12, 3000.00000, 386.771, 98.9686, 352.007, 112.897, 359.124, 78.709
13, 0.00000, 379.149, 98.0138, 349.326, 106.604, 357.761, 78.0252
13, 600.00000, 381.295, 101.197, 349.509, 106.685, 361.139, 76.5614
13, 1200.00000, 382.991, 98.4072, 344.588, 103.815, 357.052, 62.93
13, 1800.00000, 380.801, 96.2649, 344.954, 101.901, 357.014, 65.1872
13, 2400.00000, 385.067, 94.0463, 357.918, 100.616, 365.393, 71.9792
13, 3000.00000, 387.329, 97.9456, 357.563, 101.247, 370.09, 74.1709
14, 0.00000, 380.292, 94.4355, 358.652, 100.248, 363.115, 75.2344
14, 600.00000, 375.776, 97.9997, 349.334, 92.4056, 368.721, 74.8782
14, 1200.00000, 365.853, 98.5789, 341.408, 88.1241, 361.778, 69.5039
14, 1800.00000, 337.273, 89.8882, 320.178, 78.7116, 339.697, 71.4604
14, 2400.00000, 342.952, 92.0431, 315.751, 82.2873, 338.507, 65.4798
14, 3000.00000, 334.393, 94.1688, 317.774, 81.8501, 335.643, 70.5408
15, 0.00000, 288.695, 93.6892, 262.195, 78.4224, 288.826, 63.0394
15, 600.00000, 292.063, 96.2851, 268.538, 83.8466, 291.243, 69.6243
15, 1200.00000, 298.384, 93.9414, 247.143, 85.7239, 292.581, 67.144
15, 1800.00000, 369.708, 102.847, 341.304, 97.3281, 359.882, 73.6223
15, 2400.00000, 372.819, 99.8297, 355.049, 100.464, 360.787, 79.1752
15, 3000.00000, 359.595, 95.1633, 346.959, 90.6178, 354.703, 76.2739
16, 0.00000, 366.105, 102.344, 339.221, 92.6301, 361.092, 73.0557
16, 600.00000, 359.708, 96.8957, 339.061, 92.7927, 350.915, 72.0281
16, 1200.00000, 333.847, 95.5506, 312.353, 81.1861, 334.641, 66.9659
16, 1800.00000, 338.343, 97.1615, 314.909, 83.0622, 340.479, 72.6741
16, 2400.00000, 326.145, 89.2493, 307.163, 81.7287, 325.221, 73.9152
16, 3000.00000, 304.209, 85.2742, 291.839, 74.5034, 309.755, 73.4299
17, 0.00000, 287.559, 84.1779, 274.393, 73.7701, 291.184, 69.8189
17, 600.00000, 282.93, 89.8215, 263.46, 77.0611, 284.698, 66.6964
17, 1200.00000, 263.992, 85.6844, 254.856, 70.3117, 269.307, 62.6072
17, 1800.00000, 241.103, 76.4947, 225.386, 63.3171, 242.875, 51.9386
